,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Interested in Math
22,5,3,5,3,1,5,5,3,3,few hours a day,5,22,1,female,city,FALSE
23,5,1,5,2,2,5,3,3,2,few hours a day,2,20,3,female,city,FALSE
24,5,3,5,4,2,3,5,4,4,few hours a day,3,19,1,female,city,FALSE
25,5,2,5,2,3,3,5,2,4,few hours a day,2,20,1,female,city,FALSE
26,5,2,5,3,2,5,1,4,5,few hours a day,5,22,1,female,city,FALSE
27,4,4,5,2,1,5,5,3,4,few hours a day,3,19,1,female,city,FALSE
28,5,3,5,5,1,3,4,3,3,few hours a day,3,20,2,male,village,FALSE
29,5,3,5,5,2,2,5,3,3,few hours a day,4,19,2,female,village,FALSE
30,4,3,5,2,1,3,5,2,3,few hours a day,2,25,1,male,city,FALSE
31,4,1,4,4,2,1,2,2,3,less than an hour a day,4,22,1,female,city,FALSE
32,5,3,5,4,1,5,5,1,3,few hours a day,1,20,4,female,city,FALSE
33,5,1,4,5,2,5,4,3,4,few hours a day,2,27,1,female,city,FALSE
34,5,1,5,4,3,1,2,2,2,few hours a day,3,20,5,male,city,FALSE
35,5,1,5,1,1,5,4,3,3,few hours a day,3,19,1,female,village,FALSE
36,5,1,5,4,3,5,5,2,5,few hours a day,5,18,1,female,city,FALSE
37,5,1,4,3,3,3,NaN,3,3,few hours a day,3,21,1,male,city,FALSE
38,5,4,5,3,3,5,5,4,4,few hours a day,5,23,1,female,village,FALSE
39,5,2,4,4,1,5,5,4,3,few hours a day,3,21,1,female,city,FALSE
40,4,3,5,2,2,2,5,3,1,few hours a day,3,26,1,female,city,FALSE
41,5,5,3,5,5,3,1,1,3,few hours a day,3,20,3,male,city,TRUE
42,5,3,5,2,5,5,5,3,2,few hours a day,5,19,0,female,city,TRUE
43,5,3,5,2,1,5,5,3,3,most of the day,3,20,1,female,city,FALSE
44,4,4,5,4,3,5,5,4,3,few hours a day,4,25,1,female,village,FALSE
45,5,3,5,5,5,4,5,4,1,most of the day,4,27,1,male,NaN,TRUE
46,5,2,5,4,2,4,1,2,4,few hours a day,3,21,1,female,city,FALSE
47,5,2,5,2,2,5,1,2,3,few hours a day,3,19,1,female,city,FALSE
48,5,2,3,2,2,2,2,5,3,few hours a day,4,20,1,female,village,FALSE
49,5,2,5,2,1,5,5,4,3,few hours a day,4,20,1,female,city,FALSE
50,4,1,5,3,4,5,2,3,3,few hours a day,4,19,2,female,city,TRUE
51,5,3,5,2,5,4,5,2,4,less than an hour a day,5,19,1,female,city,TRUE
52,5,2,5,5,3,3,5,3,3,few hours a day,1,21,2,female,village,FALSE
53,5,2,5,3,1,1,5,3,4,less than an hour a day,3,18,4,female,city,FALSE
54,5,4,5,5,1,1,3,3,3,few hours a day,3,21,2,female,city,FALSE
55,5,5,5,4,2,5,5,3,2,few hours a day,5,23,1,female,village,FALSE
56,5,1,5,3,4,3,3,5,3,few hours a day,3,20,2,female,city,TRUE
57,5,1,5,5,1,5,5,2,5,few hours a day,5,21,1,female,city,FALSE
58,5,3,5,3,3,3,1,5,4,few hours a day,5,19,1,male,village,FALSE
59,5,4,5,4,1,1,2,3,3,few hours a day,1,22,1,male,city,FALSE
60,5,1,5,4,4,1,2,4,3,most of the day,5,23,1,male,city,TRUE
61,5,4,5,3,3,5,3,4,4,few hours a day,2,23,1,male,city,FALSE
62,5,5,5,5,4,1,5,1,4,few hours a day,3,23,2,male,city,TRUE
63,5,5,5,4,NaN,3,NaN,2,3,few hours a day,3,22,2,male,city,FALSE
64,5,2,5,1,1,5,5,1,4,most of the day,1,18,0,female,city,FALSE
65,4,4,5,5,2,3,1,3,3,few hours a day,1,17,1,male,city,FALSE
66,4,5,4,3,5,1,1,3,3,less than an hour a day,3,20,1,male,village,TRUE
67,3,1,5,2,4,4,1,2,2,few hours a day,3,24,0,female,village,TRUE
68,5,4,5,2,5,4,4,4,2,few hours a day,1,18,1,female,village,TRUE
69,5,1,5,2,1,4,1,3,4,most of the day,1,20,3,female,city,FALSE
70,5,3,5,2,1,2,4,3,5,few hours a day,3,17,1,male,city,FALSE
71,4,3,4,5,2,5,3,3,3,few hours a day,4,20,1,male,city,FALSE
72,5,1,5,3,1,2,5,5,3,few hours a day,3,28,1,female,city,FALSE
73,5,3,5,4,1,5,3,3,4,few hours a day,3,21,1,male,city,FALSE
74,5,2,5,4,1,3,3,3,4,few hours a day,5,22,1,male,city,FALSE
75,5,1,4,5,2,4,1,2,3,few hours a day,3,20,1,male,village,FALSE
76,4,1,4,2,1,3,1,2,4,few hours a day,2,18,1,male,city,FALSE
77,5,5,5,4,1,1,5,1,4,few hours a day,1,21,1,female,city,FALSE
78,4,4,5,2,3,3,3,2,4,few hours a day,4,24,1,female,village,FALSE
79,5,4,5,4,2,5,5,3,4,few hours a day,4,21,2,female,city,FALSE
80,5,3,5,5,1,5,3,3,3,few hours a day,3,19,1,female,city,FALSE
81,5,3,5,3,1,2,1,3,3,few hours a day,3,22,1,male,city,FALSE
82,5,1,5,4,1,5,3,5,3,few hours a day,3,18,1,female,city,FALSE
83,5,5,5,NaN,1,5,5,2,2,few hours a day,3,22,2,female,city,FALSE
84,5,1,5,5,1,5,3,3,4,few hours a day,1,19,0,female,city,FALSE
85,5,4,5,4,5,1,2,3,2,most of the day,2,22,2,male,city,TRUE
86,4,3,5,5,4,2,2,4,4,few hours a day,2,24,3,male,city,TRUE
87,5,2,5,5,NaN,3,3,1,3,few hours a day,2,18,3,female,village,FALSE
88,5,5,5,5,1,5,5,5,5,few hours a day,1,21,0,female,city,FALSE
89,5,1,5,3,1,2,2,3,4,few hours a day,4,22,2,female,village,FALSE
90,4,1,4,1,1,3,5,3,3,most of the day,1,19,3,female,village,FALSE
91,5,1,5,1,1,1,5,2,4,few hours a day,5,18,4,female,village,FALSE
92,5,1,5,4,3,3,1,4,4,few hours a day,4,19,0,female,city,FALSE
93,5,1,4,2,4,3,2,3,2,few hours a day,4,24,2,male,village,TRUE
94,5,4,5,3,1,3,2,2,1,most of the day,3,21,1,male,city,FALSE
95,5,2,5,4,1,4,4,4,2,few hours a day,1,21,1,male,city,FALSE
96,5,4,2,1,1,1,4,2,2,few hours a day,1,19,1,male,city,FALSE
97,5,2,5,3,4,5,2,5,3,most of the day,2,19,1,male,village,TRUE
98,3,3,3,1,1,1,5,5,1,few hours a day,3,22,1,male,village,FALSE
99,5,1,3,3,5,4,5,3,4,less than an hour a day,4,18,1,female,city,TRUE
100,5,2,5,3,2,2,4,3,4,few hours a day,4,21,1,female,city,FALSE
101,5,1,4,5,1,3,5,3,3,few hours a day,2,18,1,male,village,FALSE
102,5,1,5,5,4,1,1,3,3,few hours a day,3,20,0,female,city,TRUE
103,5,4,5,5,2,1,4,2,5,few hours a day,4,22,0,male,city,FALSE
104,4,3,4,5,2,2,1,1,4,few hours a day,2,21,1,male,village,FALSE
105,5,1,4,4,1,4,1,2,3,few hours a day,4,24,1,male,village,FALSE
106,5,3,5,4,3,1,2,4,3,few hours a day,4,19,1,male,city,FALSE
107,5,1,3,1,1,4,1,1,5,less than an hour a day,1,18,1,female,city,FALSE
108,4,2,5,1,3,3,5,5,2,few hours a day,1,17,1,female,city,FALSE
109,5,1,5,3,2,1,1,4,3,few hours a day,4,18,0,male,city,FALSE
110,5,4,4,3,2,3,4,3,3,few hours a day,4,21,1,male,city,FALSE
111,5,4,4,3,1,1,5,5,3,most of the day,2,22,1,female,village,FALSE
112,5,4,5,2,2,3,4,3,3,less than an hour a day,4,20,1,female,city,FALSE
113,3,5,4,2,1,5,3,2,4,few hours a day,2,21,1,female,village,FALSE
114,5,1,5,5,1,5,5,2,4,less than an hour a day,4,19,1,female,city,FALSE
115,5,3,5,2,1,3,5,5,3,few hours a day,3,17,0,female,city,FALSE
116,5,1,4,2,1,4,5,5,4,few hours a day,3,21,1,female,city,FALSE
117,5,1,4,2,5,5,3,4,4,few hours a day,3,18,3,female,village,TRUE
118,5,1,5,3,4,4,2,3,3,few hours a day,4,23,1,male,city,TRUE
119,4,3,3,4,4,3,2,2,4,few hours a day,5,16,1,female,village,TRUE
120,5,3,3,5,5,5,1,2,2,most of the day,4,23,0,male,city,TRUE
121,4,3,4,1,4,3,1,2,2,few hours a day,2,21,2,male,city,TRUE
122,5,1,4,5,1,4,2,2,3,few hours a day,4,23,0,female,city,FALSE
123,5,1,3,2,1,4,1,3,3,few hours a day,4,20,0,female,village,FALSE
124,4,1,4,4,1,4,1,2,3,few hours a day,3,20,4,male,city,FALSE
125,5,2,5,4,2,5,4,3,4,few hours a day,3,20,1,female,city,FALSE
126,3,1,3,5,2,1,1,4,3,few hours a day,4,20,2,female,village,FALSE
127,4,3,5,4,3,2,2,3,2,most of the day,2,19,1,female,city,FALSE
128,5,5,5,4,3,5,1,5,3,few hours a day,5,15,3,female,city,FALSE
129,5,1,5,4,1,5,2,2,3,less than an hour a day,3,20,1,female,village,FALSE
130,4,3,5,5,2,1,4,1,4,few hours a day,4,19,1,female,village,FALSE
131,5,3,5,1,1,3,2,3,2,few hours a day,4,18,2,male,village,FALSE
132,5,1,5,1,4,5,5,5,2,most of the day,5,15,1,female,village,TRUE
133,5,1,5,4,1,4,4,2,4,less than an hour a day,2,20,2,female,city,FALSE
134,5,4,5,3,1,4,5,5,1,few hours a day,1,16,1,female,village,FALSE
135,5,1,4,5,3,5,5,3,3,few hours a day,4,18,1,male,village,FALSE
136,5,1,5,4,2,3,5,4,4,few hours a day,3,21,1,male,village,FALSE
137,5,2,2,4,3,1,3,5,5,few hours a day,4,NaN,NaN,NaN,village,FALSE
138,5,1,5,2,1,3,1,4,5,few hours a day,4,20,4,female,village,FALSE
139,5,3,5,1,2,5,3,4,4,few hours a day,2,19,1,female,village,FALSE
140,5,3,5,5,2,5,2,3,4,few hours a day,3,19,3,female,city,FALSE
141,3,2,3,3,5,5,1,3,3,few hours a day,1,19,1,female,city,TRUE
142,5,2,4,1,2,1,4,3,2,most of the day,2,NaN,NaN,male,city,FALSE
143,5,3,NaN,NaN,1,5,5,3,3,most of the day,2,20,1,female,city,FALSE
144,5,4,5,3,1,3,1,4,1,few hours a day,5,21,1,male,city,FALSE
145,1,3,4,2,1,2,5,3,3,few hours a day,2,19,1,female,village,FALSE
146,5,NaN,5,5,1,4,1,3,2,few hours a day,5,21,1,male,city,FALSE
147,5,1,5,4,5,3,2,4,4,most of the day,4,18,2,male,city,TRUE
148,4,3,4,3,4,1,2,2,4,few hours a day,4,20,3,male,village,TRUE
149,2,1,3,2,5,1,1,3,3,few hours a day,3,19,5,male,city,TRUE
150,5,1,5,2,3,1,5,2,3,few hours a day,3,22,1,female,city,FALSE
151,5,2,5,4,2,3,3,3,3,few hours a day,4,20,1,male,city,FALSE
152,5,2,5,5,2,4,2,5,4,few hours a day,2,25,2,male,city,FALSE
153,2,3,3,5,1,1,5,4,4,few hours a day,3,21,0,female,city,FALSE
154,5,1,4,5,3,3,5,2,3,few hours a day,4,24,1,male,city,FALSE
155,5,2,4,4,3,4,2,5,5,few hours a day,5,19,1,female,city,FALSE
156,5,1,5,5,1,4,1,5,3,few hours a day,4,25,1,male,city,FALSE
157,5,1,5,3,2,2,2,2,4,most of the day,4,26,2,male,village,FALSE
158,5,5,5,1,3,5,5,5,3,few hours a day,2,15,2,female,village,FALSE
159,5,3,5,4,3,5,2,2,3,few hours a day,3,20,1,male,city,FALSE
160,5,3,5,4,5,1,1,3,2,few hours a day,3,19,1,male,city,TRUE
161,5,3,5,2,1,5,4,5,3,few hours a day,3,20,2,female,city,FALSE
162,4,1,4,5,1,2,2,3,2,few hours a day,4,21,0,male,city,FALSE
163,5,5,4,5,1,1,4,4,4,most of the day,3,22,1,male,city,FALSE
164,5,3,5,3,1,4,2,3,4,most of the day,2,20,1,male,village,FALSE
165,5,2,5,3,2,2,4,1,5,few hours a day,3,20,1,female,city,FALSE
166,5,1,4,2,2,1,4,3,4,few hours a day,5,21,1,female,city,FALSE
167,3,3,3,3,1,4,4,4,2,few hours a day,4,21,1,male,village,FALSE
168,5,1,5,3,1,1,1,5,3,most of the day,3,20,0,female,city,FALSE
169,5,1,5,4,1,4,5,4,3,few hours a day,5,19,2,female,village,FALSE
170,4,1,3,5,5,4,3,4,4,few hours a day,5,19,1,male,city,TRUE
171,5,1,5,4,1,1,1,4,3,few hours a day,3,20,0,male,city,FALSE
172,5,1,3,5,3,3,1,5,4,most of the day,4,22,1,male,village,FALSE
173,5,5,5,3,4,5,2,4,4,most of the day,3,21,1,male,city,TRUE
174,5,1,5,5,1,3,5,3,3,few hours a day,3,26,0,male,city,FALSE
175,5,2,4,1,1,5,3,3,3,few hours a day,5,17,2,female,city,FALSE
176,5,2,5,1,5,4,1,2,4,less than an hour a day,4,22,2,male,village,TRUE
177,5,1,5,3,1,5,1,3,3,few hours a day,3,26,2,male,city,FALSE
178,4,1,3,4,3,3,2,3,3,few hours a day,4,20,1,female,city,FALSE
179,4,4,4,5,2,4,5,2,3,few hours a day,5,22,1,male,city,FALSE
180,4,1,4,4,4,1,1,3,2,few hours a day,4,21,0,male,city,TRUE
181,5,3,4,4,2,2,1,2,4,few hours a day,3,23,0,male,city,FALSE
182,5,1,5,3,2,5,5,2,4,few hours a day,2,19,0,female,city,FALSE
183,5,4,5,5,2,5,3,2,2,few hours a day,4,20,1,male,city,FALSE
184,5,1,5,3,1,2,2,5,3,few hours a day,2,21,0,female,city,FALSE
185,3,3,5,2,5,5,3,2,3,less than an hour a day,3,19,2,female,city,TRUE
186,4,2,4,3,1,4,5,2,3,less than an hour a day,3,29,2,female,city,FALSE
187,5,5,4,5,1,2,1,5,3,few hours a day,2,22,1,female,city,FALSE
188,3,1,2,4,1,NaN,2,2,4,less than an hour a day,5,19,2,female,village,FALSE
189,5,1,5,4,3,1,3,4,3,few hours a day,4,17,1,female,city,FALSE
190,4,2,4,3,5,2,5,4,4,few hours a day,4,16,1,female,city,TRUE
191,5,1,4,3,1,2,1,2,5,less than an hour a day,1,29,2,female,village,FALSE
192,5,4,5,3,1,5,5,5,3,few hours a day,5,18,2,female,city,FALSE
193,5,1,5,3,1,5,1,3,3,few hours a day,3,26,2,male,city,FALSE
194,5,1,5,2,1,1,3,3,4,few hours a day,3,19,1,male,city,FALSE
195,5,1,4,3,1,1,5,3,3,few hours a day,2,19,1,male,city,FALSE
196,5,3,5,4,1,1,4,2,3,few hours a day,4,20,0,female,city,FALSE
197,5,1,5,2,1,4,4,3,4,few hours a day,3,22,0,female,city,FALSE
198,5,2,3,4,1,4,5,1,2,few hours a day,1,20,1,male,village,FALSE
199,5,4,4,2,1,3,2,3,2,less than an hour a day,1,21,1,male,village,FALSE
200,4,2,5,3,1,5,1,5,2,most of the day,4,21,2,male,city,FALSE
201,5,2,5,4,1,5,1,3,4,few hours a day,2,18,0,NaN,village,FALSE
202,5,4,5,2,1,4,4,3,2,few hours a day,3,15,0,male,city,FALSE
203,5,3,5,2,3,3,2,3,3,few hours a day,3,19,1,female,city,FALSE
204,5,1,5,1,4,3,4,3,3,few hours a day,3,24,1,female,city,TRUE
205,5,1,5,5,1,2,1,3,4,few hours a day,5,19,1,female,city,FALSE
206,5,1,5,5,4,3,3,3,2,few hours a day,4,25,3,male,village,TRUE
207,5,1,5,5,1,5,5,4,4,few hours a day,4,20,1,female,city,FALSE
208,5,1,3,3,1,5,5,3,3,less than an hour a day,1,19,2,female,village,FALSE
209,5,2,5,4,4,3,5,4,2,few hours a day,5,21,1,male,village,TRUE
210,5,5,5,5,4,5,5,3,5,few hours a day,3,23,2,male,village,TRUE
211,5,4,5,1,1,4,5,3,4,few hours a day,2,21,1,female,village,FALSE
212,5,2,5,5,5,1,4,2,3,most of the day,3,20,1,male,city,TRUE
213,5,5,5,3,3,4,3,4,4,few hours a day,5,20,1,female,village,FALSE
214,4,1,5,4,3,3,5,4,3,less than an hour a day,3,18,3,female,city,FALSE
215,1,1,4,3,1,1,1,2,3,few hours a day,1,27,2,male,city,FALSE
216,5,2,4,3,3,1,4,3,3,few hours a day,3,17,0,female,city,FALSE
217,5,2,5,2,2,5,5,3,1,few hours a day,3,19,1,female,village,FALSE
218,5,3,5,2,2,5,1,4,4,few hours a day,2,18,2,male,village,FALSE
219,5,5,5,5,1,NaN,1,2,5,less than an hour a day,NaN,26,1,male,city,FALSE
220,5,1,5,3,1,5,2,2,4,few hours a day,2,18,2,male,village,FALSE
221,5,4,5,3,4,4,2,2,2,few hours a day,1,30,2,male,city,TRUE
222,5,1,5,2,2,1,2,5,4,few hours a day,4,24,1,female,city,FALSE
223,5,2,5,4,3,5,1,2,2,few hours a day,4,20,0,female,village,FALSE
224,5,1,5,2,1,1,1,4,2,few hours a day,4,20,1,male,village,FALSE
225,5,2,5,3,4,3,4,3,3,few hours a day,3,20,1,male,village,TRUE
226,5,3,5,2,1,5,1,5,4,few hours a day,3,25,1,NaN,village,FALSE
227,5,1,5,5,3,3,1,1,2,few hours a day,2,19,3,female,village,FALSE
228,4,2,5,3,3,5,1,3,4,few hours a day,5,20,2,female,village,FALSE
229,4,3,3,2,4,1,1,2,4,few hours a day,1,21,5,male,village,TRUE
230,5,2,4,4,3,4,5,2,4,few hours a day,3,19,1,female,village,FALSE
231,5,1,5,2,2,5,1,3,4,few hours a day,5,19,0,female,village,FALSE
232,5,3,5,1,4,1,2,5,3,few hours a day,4,19,2,female,village,TRUE
233,4,4,5,1,1,5,4,2,3,few hours a day,4,18,1,female,city,FALSE
234,4,1,3,1,5,5,4,4,4,few hours a day,5,18,1,female,village,TRUE
235,5,1,5,5,1,3,2,3,3,few hours a day,3,16,0,female,city,FALSE
236,1,1,5,5,3,5,1,2,4,less than an hour a day,3,19,0,female,city,FALSE
237,5,3,4,2,4,5,5,2,2,few hours a day,3,18,3,female,city,TRUE
238,5,1,5,2,2,3,4,2,2,few hours a day,1,19,2,female,city,FALSE
239,5,2,5,4,1,4,5,2,3,less than an hour a day,3,21,1,female,city,FALSE
240,3,2,3,3,2,3,3,3,2,few hours a day,2,21,1,male,city,FALSE
241,5,1,5,3,4,5,5,2,5,few hours a day,5,18,1,female,city,TRUE
242,3,1,5,3,1,2,NaN,3,4,less than an hour a day,5,21,0,female,city,FALSE
243,NaN,1,5,4,4,1,1,5,4,few hours a day,5,17,0,female,city,TRUE
244,5,2,5,1,1,5,5,2,3,most of the day,3,20,0,female,city,FALSE
245,5,1,5,3,1,5,1,3,3,less than an hour a day,1,19,1,female,city,FALSE
246,5,1,5,5,5,5,4,2,3,few hours a day,4,27,0,male,city,TRUE
247,5,2,5,3,1,1,2,3,3,few hours a day,3,22,2,female,city,FALSE
248,5,3,5,5,2,3,3,3,4,few hours a day,3,19,2,female,city,FALSE
249,5,2,5,4,1,5,5,3,4,no time at all,3,19,3,female,village,FALSE
250,5,2,5,1,1,1,1,3,4,few hours a day,4,20,0,female,city,FALSE
251,5,5,5,2,1,5,1,2,3,few hours a day,3,19,2,female,village,FALSE
252,5,2,5,3,1,5,4,5,3,few hours a day,5,20,0,female,village,FALSE
253,5,1,3,1,1,1,3,4,2,few hours a day,3,17,2,female,city,FALSE
254,5,3,5,2,2,5,5,5,3,few hours a day,3,23,2,female,village,FALSE
255,5,1,5,2,2,3,3,3,4,few hours a day,5,20,2,female,city,FALSE
256,5,1,3,3,1,1,5,1,3,few hours a day,1,20,1,female,city,FALSE
257,5,5,5,4,5,1,2,2,3,few hours a day,4,19,2,male,city,TRUE
258,5,1,5,2,4,2,1,2,2,most of the day,4,20,1,female,city,TRUE
259,2,1,3,5,1,1,1,3,3,few hours a day,4,19,4,male,village,FALSE
260,3,3,3,3,1,3,3,3,3,few hours a day,3,19,0,male,city,FALSE
261,5,1,5,3,4,5,3,4,3,few hours a day,2,18,1,female,city,TRUE
262,5,3,4,3,3,3,4,5,4,few hours a day,3,19,1,female,city,FALSE
263,5,3,5,1,3,3,4,1,3,few hours a day,1,15,3,female,city,FALSE
264,3,3,5,2,2,5,4,3,3,few hours a day,3,19,1,female,village,FALSE
265,5,1,5,1,2,5,4,3,3,most of the day,5,15,1,female,city,FALSE
266,5,1,5,3,4,4,3,4,4,few hours a day,2,19,1,female,city,TRUE
267,5,2,4,4,3,5,1,1,2,few hours a day,3,21,2,female,city,FALSE
268,5,1,4,1,5,5,5,2,3,few hours a day,4,19,2,female,city,TRUE
269,5,2,5,3,2,3,2,3,2,few hours a day,4,17,1,female,village,FALSE
270,5,2,5,3,1,5,5,3,3,few hours a day,2,23,1,female,city,FALSE
271,5,1,5,4,2,5,2,2,3,less than an hour a day,4,24,0,male,village,FALSE
272,5,1,5,3,3,5,2,3,3,less than an hour a day,4,19,1,female,city,FALSE
273,5,4,5,3,2,1,4,3,4,few hours a day,3,19,2,female,city,FALSE
274,5,2,4,5,1,4,4,2,2,few hours a day,4,22,0,female,city,FALSE
275,5,4,5,5,2,2,4,4,2,few hours a day,2,20,1,female,city,FALSE
276,5,1,5,4,3,1,3,4,3,few hours a day,1,21,2,female,village,FALSE
277,5,2,5,5,2,1,5,4,3,few hours a day,4,19,0,male,city,FALSE
278,5,3,5,4,3,5,1,3,4,few hours a day,3,19,2,male,village,FALSE
279,5,2,4,3,1,5,2,4,3,few hours a day,3,20,1,female,city,FALSE
280,5,5,4,3,1,4,5,5,3,few hours a day,3,18,1,female,city,FALSE
281,5,3,4,2,1,5,2,4,3,few hours a day,2,19,1,male,city,FALSE
282,5,1,3,1,1,5,5,3,3,less than an hour a day,4,20,2,female,city,FALSE
283,5,3,5,2,5,1,1,1,3,few hours a day,3,22,1,male,city,TRUE
284,1,1,5,2,4,4,3,1,3,most of the day,5,20,2,male,city,TRUE
285,5,1,5,2,2,5,5,2,3,few hours a day,4,20,2,female,city,FALSE
286,5,1,5,4,1,5,4,3,1,few hours a day,2,27,1,female,city,FALSE
287,5,3,5,4,1,4,5,3,3,few hours a day,3,19,1,female,city,FALSE
288,5,5,4,2,1,3,3,3,3,few hours a day,3,22,2,male,city,FALSE
289,5,2,4,5,1,4,1,2,2,most of the day,1,19,0,male,city,FALSE
290,4,1,5,4,1,2,1,4,4,few hours a day,1,20,1,female,city,FALSE
291,4,2,4,4,2,3,2,2,3,few hours a day,3,20,1,male,village,FALSE
292,5,2,5,3,1,5,4,3,4,few hours a day,4,21,1,female,city,FALSE
293,5,1,5,4,5,5,2,4,1,few hours a day,3,16,1,female,village,TRUE
294,5,1,3,5,1,5,5,4,2,less than an hour a day,3,19,1,female,city,FALSE
295,5,1,5,3,1,5,3,2,4,few hours a day,3,18,1,female,village,FALSE
296,5,5,5,4,4,4,1,1,3,few hours a day,1,23,1,male,city,TRUE
297,5,4,5,1,3,3,1,4,3,few hours a day,2,19,0,male,village,FALSE
298,5,2,5,3,1,5,3,3,3,less than an hour a day,4,19,0,female,city,FALSE
299,5,1,5,3,1,4,5,2,4,few hours a day,3,22,1,female,city,FALSE
300,5,1,3,3,3,2,1,2,3,most of the day,4,18,1,female,city,FALSE
301,4,1,5,5,2,3,1,2,4,few hours a day,4,20,1,male,city,FALSE
302,5,1,5,3,1,1,1,3,4,less than an hour a day,3,19,1,female,village,FALSE
303,4,1,5,4,5,5,4,4,4,few hours a day,4,25,1,female,city,TRUE
304,5,1,5,4,1,1,3,3,1,few hours a day,3,18,2,female,city,FALSE
305,5,1,5,5,4,5,2,3,3,few hours a day,2,20,0,female,city,TRUE
306,5,4,5,3,4,5,5,4,4,few hours a day,4,15,1,female,city,TRUE
307,5,1,5,2,5,1,5,5,4,few hours a day,4,19,2,female,city,TRUE
308,5,4,4,3,2,3,3,3,4,few hours a day,3,19,2,female,city,FALSE
309,5,2,4,2,3,1,1,2,3,few hours a day,3,16,0,female,village,FALSE
310,5,5,3,1,2,5,3,4,4,few hours a day,3,19,1,male,city,FALSE
311,5,2,5,5,3,2,5,3,4,few hours a day,3,18,0,female,city,FALSE
312,2,2,5,2,2,3,2,3,3,few hours a day,2,15,1,male,city,FALSE
313,5,2,5,3,1,3,5,2,4,few hours a day,3,20,1,female,city,FALSE
314,5,5,5,5,5,5,2,2,4,few hours a day,3,20,2,male,village,TRUE
315,5,1,4,4,1,1,5,3,4,few hours a day,1,20,1,male,city,FALSE
316,5,4,4,3,2,5,3,2,3,less than an hour a day,3,20,1,female,city,FALSE
317,5,4,5,1,3,5,1,3,4,few hours a day,3,19,2,male,city,FALSE
318,5,2,5,3,3,5,5,3,3,less than an hour a day,3,16,0,female,city,FALSE
319,5,3,5,3,1,3,5,1,5,few hours a day,3,18,1,female,city,FALSE
320,5,4,5,5,3,3,1,3,4,few hours a day,5,20,0,male,village,FALSE
321,5,3,5,4,1,5,5,3,4,few hours a day,2,16,0,female,city,FALSE
322,5,1,4,5,1,5,2,2,4,few hours a day,2,18,1,female,city,FALSE
323,5,1,3,2,3,5,4,4,3,few hours a day,4,20,1,male,village,FALSE
324,5,2,5,1,2,3,2,3,4,few hours a day,3,18,1,female,city,FALSE
325,5,4,4,5,1,5,2,3,4,less than an hour a day,4,19,1,male,village,FALSE
326,5,3,5,4,4,4,1,1,4,few hours a day,3,19,0,female,city,TRUE
327,5,1,5,3,2,5,5,3,3,few hours a day,5,20,1,female,city,FALSE
328,5,1,5,1,5,1,1,3,3,few hours a day,5,18,0,male,city,TRUE
329,5,3,5,3,2,4,2,5,3,few hours a day,2,17,1,female,city,FALSE
330,5,3,5,4,1,5,5,2,3,few hours a day,3,22,0,female,city,FALSE
331,5,4,5,2,3,5,3,3,3,few hours a day,3,17,1,male,village,FALSE
332,4,1,5,3,4,5,3,5,4,few hours a day,5,22,2,female,village,TRUE
333,5,2,4,5,3,5,3,3,5,few hours a day,3,16,1,female,city,FALSE
334,5,1,5,4,1,2,4,5,4,few hours a day,4,24,1,female,city,FALSE
