,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Age Category
35,5,1,5,1,1,5,4,3,3,few hours a day,3,19,1,female,village,Less than 21
36,5,1,5,4,3,5,5,2,5,few hours a day,5,18,1,female,city,Less than 21
37,5,1,4,3,3,3,NaN,3,3,few hours a day,3,21,1,male,city,21+
38,5,4,5,3,3,5,5,4,4,few hours a day,5,23,1,female,village,21+
39,5,2,4,4,1,5,5,4,3,few hours a day,3,21,1,female,city,21+
40,4,3,5,2,2,2,5,3,1,few hours a day,3,26,1,female,city,21+
41,5,5,3,5,5,3,1,1,3,few hours a day,3,20,3,male,city,Less than 21
42,5,3,5,2,5,5,5,3,2,few hours a day,5,19,0,female,city,Less than 21
43,5,3,5,2,1,5,5,3,3,most of the day,3,20,1,female,city,Less than 21
44,4,4,5,4,3,5,5,4,3,few hours a day,4,25,1,female,village,21+
45,5,3,5,5,5,4,5,4,1,most of the day,4,27,1,male,NaN,21+
46,5,2,5,4,2,4,1,2,4,few hours a day,3,21,1,female,city,21+
47,5,2,5,2,2,5,1,2,3,few hours a day,3,19,1,female,city,Less than 21
48,5,2,3,2,2,2,2,5,3,few hours a day,4,20,1,female,village,Less than 21
49,5,2,5,2,1,5,5,4,3,few hours a day,4,20,1,female,city,Less than 21
50,4,1,5,3,4,5,2,3,3,few hours a day,4,19,2,female,city,Less than 21
51,5,3,5,2,5,4,5,2,4,less than an hour a day,5,19,1,female,city,Less than 21
52,5,2,5,5,3,3,5,3,3,few hours a day,1,21,2,female,village,21+
53,5,2,5,3,1,1,5,3,4,less than an hour a day,3,18,4,female,city,Less than 21
54,5,4,5,5,1,1,3,3,3,few hours a day,3,21,2,female,city,21+
55,5,5,5,4,2,5,5,3,2,few hours a day,5,23,1,female,village,21+
56,5,1,5,3,4,3,3,5,3,few hours a day,3,20,2,female,city,Less than 21
57,5,1,5,5,1,5,5,2,5,few hours a day,5,21,1,female,city,21+
58,5,3,5,3,3,3,1,5,4,few hours a day,5,19,1,male,village,Less than 21
59,5,4,5,4,1,1,2,3,3,few hours a day,1,22,1,male,city,21+
60,5,1,5,4,4,1,2,4,3,most of the day,5,23,1,male,city,21+
61,5,4,5,3,3,5,3,4,4,few hours a day,2,23,1,male,city,21+
62,5,5,5,5,4,1,5,1,4,few hours a day,3,23,2,male,city,21+
63,5,5,5,4,NaN,3,NaN,2,3,few hours a day,3,22,2,male,city,21+
64,5,2,5,1,1,5,5,1,4,most of the day,1,18,0,female,city,Less than 21
65,4,4,5,5,2,3,1,3,3,few hours a day,1,17,1,male,city,Less than 21
66,4,5,4,3,5,1,1,3,3,less than an hour a day,3,20,1,male,village,Less than 21
67,3,1,5,2,4,4,1,2,2,few hours a day,3,24,0,female,village,21+
68,5,4,5,2,5,4,4,4,2,few hours a day,1,18,1,female,village,Less than 21
69,5,1,5,2,1,4,1,3,4,most of the day,1,20,3,female,city,Less than 21
70,5,3,5,2,1,2,4,3,5,few hours a day,3,17,1,male,city,Less than 21
71,4,3,4,5,2,5,3,3,3,few hours a day,4,20,1,male,city,Less than 21
72,5,1,5,3,1,2,5,5,3,few hours a day,3,28,1,female,city,21+
73,5,3,5,4,1,5,3,3,4,few hours a day,3,21,1,male,city,21+
74,5,2,5,4,1,3,3,3,4,few hours a day,5,22,1,male,city,21+
75,5,1,4,5,2,4,1,2,3,few hours a day,3,20,1,male,village,Less than 21
76,4,1,4,2,1,3,1,2,4,few hours a day,2,18,1,male,city,Less than 21
77,5,5,5,4,1,1,5,1,4,few hours a day,1,21,1,female,city,21+
78,4,4,5,2,3,3,3,2,4,few hours a day,4,24,1,female,village,21+
79,5,4,5,4,2,5,5,3,4,few hours a day,4,21,2,female,city,21+
80,5,3,5,5,1,5,3,3,3,few hours a day,3,19,1,female,city,Less than 21
81,5,3,5,3,1,2,1,3,3,few hours a day,3,22,1,male,city,21+
82,5,1,5,4,1,5,3,5,3,few hours a day,3,18,1,female,city,Less than 21
83,5,5,5,NaN,1,5,5,2,2,few hours a day,3,22,2,female,city,21+
84,5,1,5,5,1,5,3,3,4,few hours a day,1,19,0,female,city,Less than 21
85,5,4,5,4,5,1,2,3,2,most of the day,2,22,2,male,city,21+
86,4,3,5,5,4,2,2,4,4,few hours a day,2,24,3,male,city,21+
87,5,2,5,5,NaN,3,3,1,3,few hours a day,2,18,3,female,village,Less than 21
88,5,5,5,5,1,5,5,5,5,few hours a day,1,21,0,female,city,21+
89,5,1,5,3,1,2,2,3,4,few hours a day,4,22,2,female,village,21+
90,4,1,4,1,1,3,5,3,3,most of the day,1,19,3,female,village,Less than 21
91,5,1,5,1,1,1,5,2,4,few hours a day,5,18,4,female,village,Less than 21
92,5,1,5,4,3,3,1,4,4,few hours a day,4,19,0,female,city,Less than 21
93,5,1,4,2,4,3,2,3,2,few hours a day,4,24,2,male,village,21+
94,5,4,5,3,1,3,2,2,1,most of the day,3,21,1,male,city,21+
95,5,2,5,4,1,4,4,4,2,few hours a day,1,21,1,male,city,21+
96,5,4,2,1,1,1,4,2,2,few hours a day,1,19,1,male,city,Less than 21
97,5,2,5,3,4,5,2,5,3,most of the day,2,19,1,male,village,Less than 21
98,3,3,3,1,1,1,5,5,1,few hours a day,3,22,1,male,village,21+
99,5,1,3,3,5,4,5,3,4,less than an hour a day,4,18,1,female,city,Less than 21
100,5,2,5,3,2,2,4,3,4,few hours a day,4,21,1,female,city,21+
101,5,1,4,5,1,3,5,3,3,few hours a day,2,18,1,male,village,Less than 21
102,5,1,5,5,4,1,1,3,3,few hours a day,3,20,0,female,city,Less than 21
103,5,4,5,5,2,1,4,2,5,few hours a day,4,22,0,male,city,21+
104,4,3,4,5,2,2,1,1,4,few hours a day,2,21,1,male,village,21+
105,5,1,4,4,1,4,1,2,3,few hours a day,4,24,1,male,village,21+
106,5,3,5,4,3,1,2,4,3,few hours a day,4,19,1,male,city,Less than 21
107,5,1,3,1,1,4,1,1,5,less than an hour a day,1,18,1,female,city,Less than 21
108,4,2,5,1,3,3,5,5,2,few hours a day,1,17,1,female,city,Less than 21
109,5,1,5,3,2,1,1,4,3,few hours a day,4,18,0,male,city,Less than 21
110,5,4,4,3,2,3,4,3,3,few hours a day,4,21,1,male,city,21+
111,5,4,4,3,1,1,5,5,3,most of the day,2,22,1,female,village,21+
112,5,4,5,2,2,3,4,3,3,less than an hour a day,4,20,1,female,city,Less than 21
113,3,5,4,2,1,5,3,2,4,few hours a day,2,21,1,female,village,21+
114,5,1,5,5,1,5,5,2,4,less than an hour a day,4,19,1,female,city,Less than 21
115,5,3,5,2,1,3,5,5,3,few hours a day,3,17,0,female,city,Less than 21
116,5,1,4,2,1,4,5,5,4,few hours a day,3,21,1,female,city,21+
117,5,1,4,2,5,5,3,4,4,few hours a day,3,18,3,female,village,Less than 21
118,5,1,5,3,4,4,2,3,3,few hours a day,4,23,1,male,city,21+
119,4,3,3,4,4,3,2,2,4,few hours a day,5,16,1,female,village,Less than 21
120,5,3,3,5,5,5,1,2,2,most of the day,4,23,0,male,city,21+
121,4,3,4,1,4,3,1,2,2,few hours a day,2,21,2,male,city,21+
122,5,1,4,5,1,4,2,2,3,few hours a day,4,23,0,female,city,21+
123,5,1,3,2,1,4,1,3,3,few hours a day,4,20,0,female,village,Less than 21
124,4,1,4,4,1,4,1,2,3,few hours a day,3,20,4,male,city,Less than 21
125,5,2,5,4,2,5,4,3,4,few hours a day,3,20,1,female,city,Less than 21
126,3,1,3,5,2,1,1,4,3,few hours a day,4,20,2,female,village,Less than 21
127,4,3,5,4,3,2,2,3,2,most of the day,2,19,1,female,city,Less than 21
128,5,5,5,4,3,5,1,5,3,few hours a day,5,15,3,female,city,Less than 21
129,5,1,5,4,1,5,2,2,3,less than an hour a day,3,20,1,female,village,Less than 21
130,4,3,5,5,2,1,4,1,4,few hours a day,4,19,1,female,village,Less than 21
131,5,3,5,1,1,3,2,3,2,few hours a day,4,18,2,male,village,Less than 21
132,5,1,5,1,4,5,5,5,2,most of the day,5,15,1,female,village,Less than 21
133,5,1,5,4,1,4,4,2,4,less than an hour a day,2,20,2,female,city,Less than 21
134,5,4,5,3,1,4,5,5,1,few hours a day,1,16,1,female,village,Less than 21
135,5,1,4,5,3,5,5,3,3,few hours a day,4,18,1,male,village,Less than 21
136,5,1,5,4,2,3,5,4,4,few hours a day,3,21,1,male,village,21+
137,5,2,2,4,3,1,3,5,5,few hours a day,4,NaN,NaN,NaN,village,21+
138,5,1,5,2,1,3,1,4,5,few hours a day,4,20,4,female,village,Less than 21
139,5,3,5,1,2,5,3,4,4,few hours a day,2,19,1,female,village,Less than 21
140,5,3,5,5,2,5,2,3,4,few hours a day,3,19,3,female,city,Less than 21
141,3,2,3,3,5,5,1,3,3,few hours a day,1,19,1,female,city,Less than 21
142,5,2,4,1,2,1,4,3,2,most of the day,2,NaN,NaN,male,city,21+
143,5,3,NaN,NaN,1,5,5,3,3,most of the day,2,20,1,female,city,Less than 21
144,5,4,5,3,1,3,1,4,1,few hours a day,5,21,1,male,city,21+
145,1,3,4,2,1,2,5,3,3,few hours a day,2,19,1,female,village,Less than 21
146,5,NaN,5,5,1,4,1,3,2,few hours a day,5,21,1,male,city,21+
147,5,1,5,4,5,3,2,4,4,most of the day,4,18,2,male,city,Less than 21
148,4,3,4,3,4,1,2,2,4,few hours a day,4,20,3,male,village,Less than 21
149,2,1,3,2,5,1,1,3,3,few hours a day,3,19,5,male,city,Less than 21
150,5,1,5,2,3,1,5,2,3,few hours a day,3,22,1,female,city,21+
151,5,2,5,4,2,3,3,3,3,few hours a day,4,20,1,male,city,Less than 21
152,5,2,5,5,2,4,2,5,4,few hours a day,2,25,2,male,city,21+
153,2,3,3,5,1,1,5,4,4,few hours a day,3,21,0,female,city,21+
154,5,1,4,5,3,3,5,2,3,few hours a day,4,24,1,male,city,21+
155,5,2,4,4,3,4,2,5,5,few hours a day,5,19,1,female,city,Less than 21
156,5,1,5,5,1,4,1,5,3,few hours a day,4,25,1,male,city,21+
157,5,1,5,3,2,2,2,2,4,most of the day,4,26,2,male,village,21+
158,5,5,5,1,3,5,5,5,3,few hours a day,2,15,2,female,village,Less than 21
159,5,3,5,4,3,5,2,2,3,few hours a day,3,20,1,male,city,Less than 21
160,5,3,5,4,5,1,1,3,2,few hours a day,3,19,1,male,city,Less than 21
161,5,3,5,2,1,5,4,5,3,few hours a day,3,20,2,female,city,Less than 21
162,4,1,4,5,1,2,2,3,2,few hours a day,4,21,0,male,city,21+
163,5,5,4,5,1,1,4,4,4,most of the day,3,22,1,male,city,21+
164,5,3,5,3,1,4,2,3,4,most of the day,2,20,1,male,village,Less than 21
165,5,2,5,3,2,2,4,1,5,few hours a day,3,20,1,female,city,Less than 21
166,5,1,4,2,2,1,4,3,4,few hours a day,5,21,1,female,city,21+
167,3,3,3,3,1,4,4,4,2,few hours a day,4,21,1,male,village,21+
168,5,1,5,3,1,1,1,5,3,most of the day,3,20,0,female,city,Less than 21
169,5,1,5,4,1,4,5,4,3,few hours a day,5,19,2,female,village,Less than 21
170,4,1,3,5,5,4,3,4,4,few hours a day,5,19,1,male,city,Less than 21
171,5,1,5,4,1,1,1,4,3,few hours a day,3,20,0,male,city,Less than 21
172,5,1,3,5,3,3,1,5,4,most of the day,4,22,1,male,village,21+
173,5,5,5,3,4,5,2,4,4,most of the day,3,21,1,male,city,21+
174,5,1,5,5,1,3,5,3,3,few hours a day,3,26,0,male,city,21+
175,5,2,4,1,1,5,3,3,3,few hours a day,5,17,2,female,city,Less than 21
176,5,2,5,1,5,4,1,2,4,less than an hour a day,4,22,2,male,village,21+
177,5,1,5,3,1,5,1,3,3,few hours a day,3,26,2,male,city,21+
178,4,1,3,4,3,3,2,3,3,few hours a day,4,20,1,female,city,Less than 21
179,4,4,4,5,2,4,5,2,3,few hours a day,5,22,1,male,city,21+
180,4,1,4,4,4,1,1,3,2,few hours a day,4,21,0,male,city,21+
181,5,3,4,4,2,2,1,2,4,few hours a day,3,23,0,male,city,21+
182,5,1,5,3,2,5,5,2,4,few hours a day,2,19,0,female,city,Less than 21
183,5,4,5,5,2,5,3,2,2,few hours a day,4,20,1,male,city,Less than 21
184,5,1,5,3,1,2,2,5,3,few hours a day,2,21,0,female,city,21+
185,3,3,5,2,5,5,3,2,3,less than an hour a day,3,19,2,female,city,Less than 21
186,4,2,4,3,1,4,5,2,3,less than an hour a day,3,29,2,female,city,21+
187,5,5,4,5,1,2,1,5,3,few hours a day,2,22,1,female,city,21+
188,3,1,2,4,1,NaN,2,2,4,less than an hour a day,5,19,2,female,village,Less than 21
189,5,1,5,4,3,1,3,4,3,few hours a day,4,17,1,female,city,Less than 21
190,4,2,4,3,5,2,5,4,4,few hours a day,4,16,1,female,city,Less than 21
191,5,1,4,3,1,2,1,2,5,less than an hour a day,1,29,2,female,village,21+
192,5,4,5,3,1,5,5,5,3,few hours a day,5,18,2,female,city,Less than 21
193,5,1,5,3,1,5,1,3,3,few hours a day,3,26,2,male,city,21+
194,5,1,5,2,1,1,3,3,4,few hours a day,3,19,1,male,city,Less than 21
195,5,1,4,3,1,1,5,3,3,few hours a day,2,19,1,male,city,Less than 21
196,5,3,5,4,1,1,4,2,3,few hours a day,4,20,0,female,city,Less than 21
197,5,1,5,2,1,4,4,3,4,few hours a day,3,22,0,female,city,21+
198,5,2,3,4,1,4,5,1,2,few hours a day,1,20,1,male,village,Less than 21
199,5,4,4,2,1,3,2,3,2,less than an hour a day,1,21,1,male,village,21+
200,4,2,5,3,1,5,1,5,2,most of the day,4,21,2,male,city,21+
201,5,2,5,4,1,5,1,3,4,few hours a day,2,18,0,NaN,village,Less than 21
202,5,4,5,2,1,4,4,3,2,few hours a day,3,15,0,male,city,Less than 21
203,5,3,5,2,3,3,2,3,3,few hours a day,3,19,1,female,city,Less than 21
204,5,1,5,1,4,3,4,3,3,few hours a day,3,24,1,female,city,21+
205,5,1,5,5,1,2,1,3,4,few hours a day,5,19,1,female,city,Less than 21
206,5,1,5,5,4,3,3,3,2,few hours a day,4,25,3,male,village,21+
207,5,1,5,5,1,5,5,4,4,few hours a day,4,20,1,female,city,Less than 21
208,5,1,3,3,1,5,5,3,3,less than an hour a day,1,19,2,female,village,Less than 21
209,5,2,5,4,4,3,5,4,2,few hours a day,5,21,1,male,village,21+
210,5,5,5,5,4,5,5,3,5,few hours a day,3,23,2,male,village,21+
211,5,4,5,1,1,4,5,3,4,few hours a day,2,21,1,female,village,21+
212,5,2,5,5,5,1,4,2,3,most of the day,3,20,1,male,city,Less than 21
213,5,5,5,3,3,4,3,4,4,few hours a day,5,20,1,female,village,Less than 21
214,4,1,5,4,3,3,5,4,3,less than an hour a day,3,18,3,female,city,Less than 21
215,1,1,4,3,1,1,1,2,3,few hours a day,1,27,2,male,city,21+
216,5,2,4,3,3,1,4,3,3,few hours a day,3,17,0,female,city,Less than 21
217,5,2,5,2,2,5,5,3,1,few hours a day,3,19,1,female,village,Less than 21
218,5,3,5,2,2,5,1,4,4,few hours a day,2,18,2,male,village,Less than 21
219,5,5,5,5,1,NaN,1,2,5,less than an hour a day,NaN,26,1,male,city,21+
220,5,1,5,3,1,5,2,2,4,few hours a day,2,18,2,male,village,Less than 21
221,5,4,5,3,4,4,2,2,2,few hours a day,1,30,2,male,city,21+
222,5,1,5,2,2,1,2,5,4,few hours a day,4,24,1,female,city,21+
223,5,2,5,4,3,5,1,2,2,few hours a day,4,20,0,female,village,Less than 21
224,5,1,5,2,1,1,1,4,2,few hours a day,4,20,1,male,village,Less than 21
225,5,2,5,3,4,3,4,3,3,few hours a day,3,20,1,male,village,Less than 21
226,5,3,5,2,1,5,1,5,4,few hours a day,3,25,1,NaN,village,21+
227,5,1,5,5,3,3,1,1,2,few hours a day,2,19,3,female,village,Less than 21
228,4,2,5,3,3,5,1,3,4,few hours a day,5,20,2,female,village,Less than 21
229,4,3,3,2,4,1,1,2,4,few hours a day,1,21,5,male,village,21+
230,5,2,4,4,3,4,5,2,4,few hours a day,3,19,1,female,village,Less than 21
231,5,1,5,2,2,5,1,3,4,few hours a day,5,19,0,female,village,Less than 21
232,5,3,5,1,4,1,2,5,3,few hours a day,4,19,2,female,village,Less than 21
233,4,4,5,1,1,5,4,2,3,few hours a day,4,18,1,female,city,Less than 21
234,4,1,3,1,5,5,4,4,4,few hours a day,5,18,1,female,village,Less than 21
235,5,1,5,5,1,3,2,3,3,few hours a day,3,16,0,female,city,Less than 21
236,1,1,5,5,3,5,1,2,4,less than an hour a day,3,19,0,female,city,Less than 21
237,5,3,4,2,4,5,5,2,2,few hours a day,3,18,3,female,city,Less than 21
238,5,1,5,2,2,3,4,2,2,few hours a day,1,19,2,female,city,Less than 21
239,5,2,5,4,1,4,5,2,3,less than an hour a day,3,21,1,female,city,21+
240,3,2,3,3,2,3,3,3,2,few hours a day,2,21,1,male,city,21+
241,5,1,5,3,4,5,5,2,5,few hours a day,5,18,1,female,city,Less than 21
242,3,1,5,3,1,2,NaN,3,4,less than an hour a day,5,21,0,female,city,21+
243,NaN,1,5,4,4,1,1,5,4,few hours a day,5,17,0,female,city,Less than 21
244,5,2,5,1,1,5,5,2,3,most of the day,3,20,0,female,city,Less than 21
245,5,1,5,3,1,5,1,3,3,less than an hour a day,1,19,1,female,city,Less than 21
246,5,1,5,5,5,5,4,2,3,few hours a day,4,27,0,male,city,21+
247,5,2,5,3,1,1,2,3,3,few hours a day,3,22,2,female,city,21+
248,5,3,5,5,2,3,3,3,4,few hours a day,3,19,2,female,city,Less than 21
249,5,2,5,4,1,5,5,3,4,no time at all,3,19,3,female,village,Less than 21
250,5,2,5,1,1,1,1,3,4,few hours a day,4,20,0,female,city,Less than 21
251,5,5,5,2,1,5,1,2,3,few hours a day,3,19,2,female,village,Less than 21
252,5,2,5,3,1,5,4,5,3,few hours a day,5,20,0,female,village,Less than 21
253,5,1,3,1,1,1,3,4,2,few hours a day,3,17,2,female,city,Less than 21
254,5,3,5,2,2,5,5,5,3,few hours a day,3,23,2,female,village,21+
255,5,1,5,2,2,3,3,3,4,few hours a day,5,20,2,female,city,Less than 21
256,5,1,3,3,1,1,5,1,3,few hours a day,1,20,1,female,city,Less than 21
257,5,5,5,4,5,1,2,2,3,few hours a day,4,19,2,male,city,Less than 21
258,5,1,5,2,4,2,1,2,2,most of the day,4,20,1,female,city,Less than 21
259,2,1,3,5,1,1,1,3,3,few hours a day,4,19,4,male,village,Less than 21
260,3,3,3,3,1,3,3,3,3,few hours a day,3,19,0,male,city,Less than 21
261,5,1,5,3,4,5,3,4,3,few hours a day,2,18,1,female,city,Less than 21
262,5,3,4,3,3,3,4,5,4,few hours a day,3,19,1,female,city,Less than 21
263,5,3,5,1,3,3,4,1,3,few hours a day,1,15,3,female,city,Less than 21
264,3,3,5,2,2,5,4,3,3,few hours a day,3,19,1,female,village,Less than 21
265,5,1,5,1,2,5,4,3,3,most of the day,5,15,1,female,city,Less than 21
266,5,1,5,3,4,4,3,4,4,few hours a day,2,19,1,female,city,Less than 21
267,5,2,4,4,3,5,1,1,2,few hours a day,3,21,2,female,city,21+
268,5,1,4,1,5,5,5,2,3,few hours a day,4,19,2,female,city,Less than 21
269,5,2,5,3,2,3,2,3,2,few hours a day,4,17,1,female,village,Less than 21
270,5,2,5,3,1,5,5,3,3,few hours a day,2,23,1,female,city,21+
271,5,1,5,4,2,5,2,2,3,less than an hour a day,4,24,0,male,village,21+
272,5,1,5,3,3,5,2,3,3,less than an hour a day,4,19,1,female,city,Less than 21
273,5,4,5,3,2,1,4,3,4,few hours a day,3,19,2,female,city,Less than 21
274,5,2,4,5,1,4,4,2,2,few hours a day,4,22,0,female,city,21+
275,5,4,5,5,2,2,4,4,2,few hours a day,2,20,1,female,city,Less than 21
276,5,1,5,4,3,1,3,4,3,few hours a day,1,21,2,female,village,21+
277,5,2,5,5,2,1,5,4,3,few hours a day,4,19,0,male,city,Less than 21
278,5,3,5,4,3,5,1,3,4,few hours a day,3,19,2,male,village,Less than 21
279,5,2,4,3,1,5,2,4,3,few hours a day,3,20,1,female,city,Less than 21
280,5,5,4,3,1,4,5,5,3,few hours a day,3,18,1,female,city,Less than 21
281,5,3,4,2,1,5,2,4,3,few hours a day,2,19,1,male,city,Less than 21
282,5,1,3,1,1,5,5,3,3,less than an hour a day,4,20,2,female,city,Less than 21
283,5,3,5,2,5,1,1,1,3,few hours a day,3,22,1,male,city,21+
284,1,1,5,2,4,4,3,1,3,most of the day,5,20,2,male,city,Less than 21
285,5,1,5,2,2,5,5,2,3,few hours a day,4,20,2,female,city,Less than 21
286,5,1,5,4,1,5,4,3,1,few hours a day,2,27,1,female,city,21+
287,5,3,5,4,1,4,5,3,3,few hours a day,3,19,1,female,city,Less than 21
288,5,5,4,2,1,3,3,3,3,few hours a day,3,22,2,male,city,21+
289,5,2,4,5,1,4,1,2,2,most of the day,1,19,0,male,city,Less than 21
290,4,1,5,4,1,2,1,4,4,few hours a day,1,20,1,female,city,Less than 21
291,4,2,4,4,2,3,2,2,3,few hours a day,3,20,1,male,village,Less than 21
292,5,2,5,3,1,5,4,3,4,few hours a day,4,21,1,female,city,21+
293,5,1,5,4,5,5,2,4,1,few hours a day,3,16,1,female,village,Less than 21
294,5,1,3,5,1,5,5,4,2,less than an hour a day,3,19,1,female,city,Less than 21
295,5,1,5,3,1,5,3,2,4,few hours a day,3,18,1,female,village,Less than 21
296,5,5,5,4,4,4,1,1,3,few hours a day,1,23,1,male,city,21+
297,5,4,5,1,3,3,1,4,3,few hours a day,2,19,0,male,village,Less than 21
298,5,2,5,3,1,5,3,3,3,less than an hour a day,4,19,0,female,city,Less than 21
299,5,1,5,3,1,4,5,2,4,few hours a day,3,22,1,female,city,21+
300,5,1,3,3,3,2,1,2,3,most of the day,4,18,1,female,city,Less than 21
301,4,1,5,5,2,3,1,2,4,few hours a day,4,20,1,male,city,Less than 21
302,5,1,5,3,1,1,1,3,4,less than an hour a day,3,19,1,female,village,Less than 21
303,4,1,5,4,5,5,4,4,4,few hours a day,4,25,1,female,city,21+
304,5,1,5,4,1,1,3,3,1,few hours a day,3,18,2,female,city,Less than 21
305,5,1,5,5,4,5,2,3,3,few hours a day,2,20,0,female,city,Less than 21
306,5,4,5,3,4,5,5,4,4,few hours a day,4,15,1,female,city,Less than 21
307,5,1,5,2,5,1,5,5,4,few hours a day,4,19,2,female,city,Less than 21
308,5,4,4,3,2,3,3,3,4,few hours a day,3,19,2,female,city,Less than 21
309,5,2,4,2,3,1,1,2,3,few hours a day,3,16,0,female,village,Less than 21
310,5,5,3,1,2,5,3,4,4,few hours a day,3,19,1,male,city,Less than 21
311,5,2,5,5,3,2,5,3,4,few hours a day,3,18,0,female,city,Less than 21
312,2,2,5,2,2,3,2,3,3,few hours a day,2,15,1,male,city,Less than 21
313,5,2,5,3,1,3,5,2,4,few hours a day,3,20,1,female,city,Less than 21
314,5,5,5,5,5,5,2,2,4,few hours a day,3,20,2,male,village,Less than 21
315,5,1,4,4,1,1,5,3,4,few hours a day,1,20,1,male,city,Less than 21
316,5,4,4,3,2,5,3,2,3,less than an hour a day,3,20,1,female,city,Less than 21
317,5,4,5,1,3,5,1,3,4,few hours a day,3,19,2,male,city,Less than 21
318,5,2,5,3,3,5,5,3,3,less than an hour a day,3,16,0,female,city,Less than 21
319,5,3,5,3,1,3,5,1,5,few hours a day,3,18,1,female,city,Less than 21
320,5,4,5,5,3,3,1,3,4,few hours a day,5,20,0,male,village,Less than 21
321,5,3,5,4,1,5,5,3,4,few hours a day,2,16,0,female,city,Less than 21
322,5,1,4,5,1,5,2,2,4,few hours a day,2,18,1,female,city,Less than 21
323,5,1,3,2,3,5,4,4,3,few hours a day,4,20,1,male,village,Less than 21
324,5,2,5,1,2,3,2,3,4,few hours a day,3,18,1,female,city,Less than 21
325,5,4,4,5,1,5,2,3,4,less than an hour a day,4,19,1,male,village,Less than 21
326,5,3,5,4,4,4,1,1,4,few hours a day,3,19,0,female,city,Less than 21
327,5,1,5,3,2,5,5,3,3,few hours a day,5,20,1,female,city,Less than 21
328,5,1,5,1,5,1,1,3,3,few hours a day,5,18,0,male,city,Less than 21
329,5,3,5,3,2,4,2,5,3,few hours a day,2,17,1,female,city,Less than 21
330,5,3,5,4,1,5,5,2,3,few hours a day,3,22,0,female,city,21+
331,5,4,5,2,3,5,3,3,3,few hours a day,3,17,1,male,village,Less than 21
332,4,1,5,3,4,5,3,5,4,few hours a day,5,22,2,female,village,21+
333,5,2,4,5,3,5,3,3,5,few hours a day,3,16,1,female,city,Less than 21
334,5,1,5,4,1,2,4,5,4,few hours a day,4,24,1,female,city,21+
335,5,4,5,5,3,3,1,4,2,few hours a day,3,17,1,male,city,Less than 21
