,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Number of Siblings,,Feels Lonely
223,5,2,5,4,3,5,1,2,2,few hours a day,4,20,0,female,village,0,,FALSE
357,5,3,4,1,3,5,5,3,4,few hours a day,2,21,0,male,city,0,,FALSE
786,5,3,4,4,2,1,1,2,4,few hours a day,3,19,0,male,city,0,,FALSE
785,4,1,5,5,1,4,1,3,2,few hours a day,2,19,0,male,city,0,,FALSE
231,5,1,5,2,2,5,1,3,4,few hours a day,5,19,0,female,village,0,,FALSE
779,5,3,5,5,2,5,5,1,3,less than an hour a day,2,17,0,female,village,0,,FALSE
235,5,1,5,5,1,3,2,3,3,few hours a day,3,16,0,female,city,0,,FALSE
236,1,1,5,5,3,5,1,2,4,less than an hour a day,3,19,0,female,city,0,,FALSE
778,5,1,5,2,2,5,5,2,3,few hours a day,2,18,0,female,city,0,,FALSE
774,3,1,4,4,2,1,2,2,4,most of the day,2,20,0,female,city,0,,FALSE
802,5,4,5,3,1,4,5,1,3,few hours a day,4,19,0,female,city,0,,FALSE
773,5,2,5,3,3,4,5,4,3,less than an hour a day,3,17,0,female,city,0,,TRUE
243,NaN,1,5,4,4,1,1,5,4,few hours a day,5,17,0,female,city,0,,TRUE
244,5,2,5,1,1,5,5,2,3,most of the day,3,20,0,female,city,0,,FALSE
246,5,1,5,5,5,5,4,2,3,few hours a day,4,27,0,male,city,0,,FALSE
771,5,1,5,3,3,1,1,3,3,few hours a day,4,18,0,male,city,0,,FALSE
769,3,3,5,4,4,4,2,3,3,less than an hour a day,4,19,0,female,city,0,,FALSE
250,5,2,5,1,1,1,1,3,4,few hours a day,4,20,0,female,city,0,,FALSE
252,5,2,5,3,1,5,4,5,3,few hours a day,5,20,0,female,village,0,,TRUE
679,5,3,5,3,1,5,1,3,4,few hours a day,4,21,0,female,city,0,,FALSE
345,4,3,4,3,3,4,1,3,3,less than an hour a day,4,18,0,female,city,0,,FALSE
260,3,3,3,3,1,3,3,3,3,few hours a day,3,19,0,male,city,0,,FALSE
759,5,2,5,5,4,5,2,4,4,few hours a day,4,18,0,male,village,0,,TRUE
242,3,1,5,3,1,2,NaN,3,4,less than an hour a day,5,21,0,female,city,0,,FALSE
893,5,3,2,2,3,2,2,3,3,less than an hour a day,4,17,0,female,village,0,,FALSE
309,5,2,4,2,3,1,1,2,3,few hours a day,3,16,0,female,village,0,,FALSE
532,5,4,5,5,1,1,2,2,4,few hours a day,2,19,0,female,city,0,,FALSE
972,5,2,5,3,3,5,5,2,4,less than an hour a day,3,19,0,female,city,0,,FALSE
463,5,1,5,1,3,4,2,5,3,less than an hour a day,3,18,0,female,city,0,,TRUE
974,5,2,5,3,5,3,3,1,1,few hours a day,3,21,0,female,city,0,,FALSE
928,5,3,5,3,1,5,5,3,2,few hours a day,4,19,0,female,city,0,,FALSE
925,5,2,5,3,1,5,4,2,5,few hours a day,5,20,0,female,city,0,,FALSE
924,5,1,5,3,1,5,1,1,4,few hours a day,4,19,0,female,city,0,,FALSE
67,3,1,5,2,4,4,1,2,2,few hours a day,3,24,0,female,village,0,,FALSE
459,4,3,5,2,1,2,2,3,4,less than an hour a day,4,19,0,female,city,0,,FALSE
979,5,2,5,5,3,4,4,2,3,few hours a day,3,19,0,male,city,0,,FALSE
454,4,1,5,3,3,5,5,2,4,few hours a day,4,21,0,female,city,0,,FALSE
84,5,1,5,5,1,5,3,3,4,few hours a day,1,19,0,female,city,0,,FALSE
578,5,1,5,2,1,5,4,3,4,few hours a day,3,20,0,female,village,0,,FALSE
88,5,5,5,5,1,5,5,5,5,few hours a day,1,21,0,female,city,0,,TRUE
579,5,5,5,5,5,2,2,4,3,most of the day,1,19,0,male,city,0,,TRUE
921,5,3,4,2,3,4,2,2,1,few hours a day,4,17,0,male,city,0,,FALSE
910,5,1,5,5,4,1,1,2,4,few hours a day,4,18,0,female,city,0,,FALSE
540,5,3,5,3,3,5,3,3,3,few hours a day,3,21,0,male,city,0,,FALSE
562,5,1,5,3,1,3,1,3,3,less than an hour a day,3,18,0,male,village,0,,FALSE
954,5,4,4,2,4,4,3,2,4,few hours a day,3,20,0,female,city,0,,FALSE
554,4,3,4,2,5,3,2,3,3,few hours a day,3,19,0,male,village,0,,FALSE
556,5,2,5,2,1,2,5,2,4,few hours a day,3,16,0,female,city,0,,FALSE
963,4,4,5,5,1,3,1,1,1,most of the day,4,23,0,male,city,0,,FALSE
950,5,3,5,4,1,5,5,5,3,most of the day,5,15,0,male,village,0,,TRUE
42,5,3,5,2,5,5,5,3,2,few hours a day,5,19,0,female,city,0,,FALSE
934,5,4,5,2,2,4,4,2,3,few hours a day,2,19,0,NaN,city,0,,FALSE
109,5,1,5,3,2,1,1,4,3,few hours a day,4,18,0,male,city,0,,TRUE
466,5,5,5,1,1,1,3,1,3,few hours a day,1,19,0,male,city,0,,FALSE
942,5,5,5,4,1,5,1,5,3,most of the day,4,24,0,male,village,0,,TRUE
939,4,4,5,2,3,4,5,2,4,few hours a day,3,20,0,female,city,0,,FALSE
938,5,5,5,4,5,5,3,5,5,few hours a day,1,19,0,female,city,0,,TRUE
936,4,3,4,2,2,2,5,4,3,few hours a day,2,21,0,female,city,0,,TRUE
64,5,2,5,1,1,5,5,1,4,most of the day,1,18,0,female,city,0,,FALSE
946,5,2,5,3,1,1,4,4,3,few hours a day,1,22,0,male,city,0,,TRUE
988,5,NaN,5,5,4,1,1,5,3,few hours a day,1,19,0,male,city,0,,TRUE
473,5,1,5,5,2,5,2,5,1,less than an hour a day,5,29,0,male,village,0,,TRUE
996,5,1,3,4,1,2,2,2,4,few hours a day,3,20,0,male,NaN,0,,FALSE
102,5,1,5,5,4,1,1,3,3,few hours a day,3,20,0,female,city,0,,FALSE
514,5,1,5,3,1,2,4,3,3,few hours a day,4,22,0,male,city,0,,FALSE
994,5,1,5,5,1,5,4,3,4,few hours a day,3,20,0,female,city,0,,FALSE
15,1,1,5,5,3,1,1,4,4,few hours a day,3,18,0,male,city,0,,TRUE
995,5,5,5,3,4,5,1,4,4,few hours a day,4,18,0,female,city,0,,TRUE
521,5,3,5,3,1,4,1,4,3,few hours a day,1,20,0,female,city,0,,TRUE
437,5,4,5,1,1,1,5,3,3,few hours a day,3,18,0,female,city,0,,FALSE
991,5,2,5,4,1,5,3,2,1,most of the day,3,21,0,male,city,0,,FALSE
513,5,3,4,2,5,4,1,3,3,most of the day,4,20,0,male,village,0,,FALSE
580,5,3,5,3,2,NaN,1,1,3,few hours a day,5,21,0,male,city,0,,FALSE
92,5,1,5,4,3,3,1,4,4,few hours a day,4,19,0,female,city,0,,TRUE
103,5,4,5,5,2,1,4,2,5,few hours a day,4,22,0,male,city,0,,FALSE
508,5,1,5,3,1,3,4,2,4,few hours a day,4,20,0,male,village,0,,FALSE
1007,4,1,4,2,3,5,2,4,4,most of the day,1,18,0,female,city,0,,TRUE
993,5,2,5,1,1,2,3,4,3,few hours a day,4,21,0,female,city,0,,TRUE
592,5,4,4,3,1,5,1,3,4,few hours a day,3,19,0,female,city,0,,FALSE
541,5,1,5,2,1,3,3,1,4,few hours a day,2,20,2,female,city,2-Jan,,FALSE
515,5,1,5,3,4,1,2,3,2,most of the day,5,19,1,male,city,2-Jan,,FALSE
706,5,3,4,2,1,1,1,2,3,few hours a day,1,18,2,male,city,2-Jan,,FALSE
705,5,3,5,4,4,5,1,1,4,few hours a day,3,22,1,female,village,2-Jan,,FALSE
516,5,4,5,5,1,5,5,3,5,few hours a day,3,22,2,male,city,2-Jan,,FALSE
704,5,2,5,2,1,4,5,3,3,less than an hour a day,3,21,2,female,village,2-Jan,,FALSE
517,5,4,5,4,2,2,1,1,4,few hours a day,3,17,1,female,village,2-Jan,,FALSE
675,5,3,5,3,2,2,4,3,4,most of the day,3,25,1,female,city,2-Jan,,FALSE
542,5,2,5,4,2,2,4,3,3,most of the day,2,29,1,NaN,city,2-Jan,,FALSE
547,5,1,5,5,1,4,1,1,4,few hours a day,3,21,2,male,village,2-Jan,,FALSE
707,5,2,3,2,3,2,1,5,4,few hours a day,4,21,1,female,village,2-Jan,,TRUE
544,5,1,5,3,1,5,1,5,4,few hours a day,1,21,2,male,city,2-Jan,,TRUE
518,5,4,4,3,1,5,2,4,4,less than an hour a day,4,18,1,female,city,2-Jan,,TRUE
674,5,1,4,1,3,3,1,2,4,less than an hour a day,3,18,1,male,city,2-Jan,,FALSE
673,4,1,4,3,1,5,4,4,3,less than an hour a day,4,22,2,female,city,2-Jan,,TRUE
708,5,4,5,2,3,5,1,3,2,few hours a day,3,23,1,male,city,2-Jan,,FALSE
548,4,1,4,2,1,3,1,1,4,less than an hour a day,4,20,1,female,city,2-Jan,,FALSE
549,5,4,4,2,1,2,2,3,3,less than an hour a day,3,NaN,1,female,village,2-Jan,,FALSE
672,3,1,4,3,1,5,5,3,3,few hours a day,4,28,1,female,city,2-Jan,,FALSE
671,5,4,4,3,3,5,2,3,4,few hours a day,3,22,2,female,city,2-Jan,,FALSE
553,3,3,4,2,3,5,5,3,3,few hours a day,2,18,1,female,village,2-Jan,,FALSE
670,5,2,3,3,2,4,1,3,3,few hours a day,3,23,1,female,city,2-Jan,,FALSE
669,4,4,4,4,2,3,2,3,3,few hours a day,4,21,1,male,village,2-Jan,,FALSE
543,5,4,5,3,2,2,4,3,4,most of the day,3,25,1,male,city,2-Jan,,FALSE
703,4,1,5,3,1,5,1,1,3,few hours a day,1,23,1,male,city,2-Jan,,FALSE
525,3,1,4,3,3,4,1,4,3,few hours a day,3,28,2,female,village,2-Jan,,TRUE
676,5,2,5,3,1,3,3,2,3,few hours a day,3,20,2,female,city,2-Jan,,FALSE
688,5,1,5,3,3,1,5,4,4,few hours a day,4,18,2,female,city,2-Jan,,TRUE
689,5,3,5,5,3,5,1,3,3,few hours a day,4,18,1,male,city,2-Jan,,FALSE
531,5,1,5,5,3,1,2,4,1,few hours a day,3,22,1,male,village,2-Jan,,TRUE
697,5,1,5,2,4,1,5,4,3,most of the day,2,20,1,female,city,2-Jan,,TRUE
690,5,3,5,4,3,2,4,3,3,few hours a day,3,18,1,male,city,2-Jan,,FALSE
530,5,1,4,5,3,2,3,3,2,most of the day,4,28,2,female,city,2-Jan,,FALSE
687,5,1,5,3,1,2,5,3,5,few hours a day,3,19,1,male,city,2-Jan,,FALSE
692,5,2,5,5,3,3,1,1,3,few hours a day,3,21,1,male,city,2-Jan,,FALSE
693,5,4,4,2,1,3,2,5,3,few hours a day,3,18,1,female,village,2-Jan,,TRUE
528,5,3,5,2,5,1,1,4,3,most of the day,3,20,2,male,city,2-Jan,,TRUE
696,5,3,5,3,2,3,1,4,3,less than an hour a day,3,18,1,female,city,2-Jan,,TRUE
527,4,2,4,2,5,5,3,1,3,few hours a day,4,23,1,female,city,2-Jan,,FALSE
526,5,1,5,4,5,5,1,2,4,few hours a day,4,21,1,male,village,2-Jan,,FALSE
522,5,4,5,2,1,5,2,1,3,few hours a day,3,18,2,female,city,2-Jan,,FALSE
529,5,1,4,5,1,3,1,3,3,few hours a day,3,20,1,male,city,2-Jan,,FALSE
519,5,4,4,4,2,2,1,2,3,few hours a day,1,19,1,male,city,2-Jan,,FALSE
686,2,3,3,3,3,3,3,3,3,less than an hour a day,3,21,1,male,city,2-Jan,,FALSE
534,5,2,5,3,1,5,5,4,3,few hours a day,3,21,1,female,city,2-Jan,,TRUE
539,5,1,5,5,1,1,4,5,3,most of the day,1,26,2,male,city,2-Jan,,TRUE
520,5,2,5,4,3,3,5,3,3,less than an hour a day,3,23,1,female,city,2-Jan,,FALSE
677,4,1,5,5,4,5,1,1,3,few hours a day,2,28,1,female,city,2-Jan,,FALSE
538,5,3,5,4,1,5,5,1,3,few hours a day,4,20,1,female,village,2-Jan,,FALSE
678,5,1,3,5,2,5,3,4,4,few hours a day,3,23,1,female,city,2-Jan,,TRUE
536,5,5,5,3,1,5,5,1,3,few hours a day,1,19,1,female,city,2-Jan,,FALSE
555,5,2,4,1,1,3,1,4,2,few hours a day,1,21,1,female,village,2-Jan,,TRUE
702,5,1,4,5,5,2,4,5,3,most of the day,3,19,2,male,city,2-Jan,,TRUE
699,5,2,5,2,1,1,2,3,3,few hours a day,2,20,1,female,city,2-Jan,,FALSE
535,5,4,5,3,3,5,1,3,3,few hours a day,1,17,2,male,village,2-Jan,,FALSE
680,5,5,5,4,3,5,5,3,3,few hours a day,3,25,1,female,city,2-Jan,,FALSE
681,5,4,4,3,2,3,5,3,3,few hours a day,3,28,1,female,city,2-Jan,,FALSE
683,5,1,5,4,1,5,NaN,3,4,less than an hour a day,3,30,1,female,village,2-Jan,,FALSE
684,5,1,5,2,3,3,3,2,3,few hours a day,2,28,1,female,village,2-Jan,,FALSE
701,5,5,5,5,3,5,3,3,4,few hours a day,4,21,1,female,city,2-Jan,,FALSE
595,5,1,5,4,1,5,1,5,2,most of the day,1,17,1,male,village,2-Jan,,TRUE
656,5,1,5,5,5,5,5,3,NaN,few hours a day,3,18,1,female,city,2-Jan,,FALSE
667,5,1,3,5,2,4,2,2,3,few hours a day,4,23,1,male,city,2-Jan,,FALSE
612,5,5,3,4,3,2,3,1,4,most of the day,3,23,2,male,village,2-Jan,,FALSE
613,5,3,5,4,1,5,5,4,4,most of the day,2,18,1,female,city,2-Jan,,TRUE
584,5,4,4,3,2,5,3,4,4,most of the day,2,28,1,female,city,2-Jan,,TRUE
614,5,5,5,3,1,5,1,3,2,few hours a day,5,22,1,female,village,2-Jan,,FALSE
583,5,1,5,5,2,4,1,3,4,most of the day,3,22,1,male,city,2-Jan,,FALSE
581,5,5,4,1,3,5,5,3,4,few hours a day,4,22,1,female,city,2-Jan,,FALSE
616,3,4,5,4,3,4,1,1,1,few hours a day,3,19,1,male,city,2-Jan,,FALSE
585,5,4,4,2,1,3,3,3,4,less than an hour a day,3,21,1,male,city,2-Jan,,FALSE
617,5,1,4,3,1,1,1,3,5,most of the day,3,19,1,female,city,2-Jan,,FALSE
622,5,4,5,2,1,5,2,2,4,few hours a day,3,18,1,female,city,2-Jan,,FALSE
624,5,1,5,3,1,2,5,2,2,few hours a day,1,21,1,female,city,2-Jan,,FALSE
625,5,2,5,2,3,5,5,1,3,few hours a day,4,19,1,female,city,2-Jan,,FALSE
627,5,2,5,3,3,1,3,3,3,less than an hour a day,5,20,1,female,city,2-Jan,,FALSE
710,4,1,5,3,5,2,2,1,4,few hours a day,4,20,1,female,city,2-Jan,,FALSE
577,5,2,5,3,4,5,5,2,2,few hours a day,3,19,1,female,city,2-Jan,,FALSE
630,5,5,4,3,3,1,5,3,3,few hours a day,3,19,1,female,city,2-Jan,,FALSE
620,5,2,5,4,1,2,3,4,2,most of the day,1,20,2,male,city,2-Jan,,TRUE
610,5,3,4,2,2,1,5,3,2,few hours a day,3,20,1,male,city,2-Jan,,FALSE
586,5,5,5,4,1,4,3,NaN,3,few hours a day,2,21,2,male,village,2-Jan,,FALSE
609,4,4,3,5,5,3,1,3,4,few hours a day,4,18,2,male,city,2-Jan,,FALSE
594,5,1,4,5,2,1,1,5,1,few hours a day,2,23,1,male,city,2-Jan,,TRUE
597,5,3,5,2,2,2,1,2,4,less than an hour a day,3,19,1,male,city,2-Jan,,FALSE
598,4,3,5,3,2,5,4,4,3,few hours a day,5,19,1,male,city,2-Jan,,TRUE
599,5,3,5,4,4,2,2,2,4,few hours a day,2,19,1,male,city,2-Jan,,FALSE
593,5,1,4,2,1,5,2,2,3,less than an hour a day,4,21,1,female,city,2-Jan,,FALSE
601,5,1,5,3,2,5,3,3,3,few hours a day,3,19,1,female,village,2-Jan,,FALSE
602,4,3,5,4,2,3,3,2,3,few hours a day,5,22,1,male,village,2-Jan,,FALSE
591,4,1,3,3,1,3,1,1,3,few hours a day,4,20,1,female,city,2-Jan,,FALSE
590,5,1,5,4,5,4,1,3,4,few hours a day,2,28,1,male,city,2-Jan,,FALSE
603,5,4,NaN,3,2,3,3,3,4,few hours a day,3,21,1,female,city,2-Jan,,FALSE
604,5,1,5,5,1,5,5,5,3,few hours a day,3,21,1,female,city,2-Jan,,TRUE
605,5,1,5,3,2,5,5,1,4,less than an hour a day,3,21,1,male,village,2-Jan,,FALSE
606,4,1,5,2,2,4,1,4,4,few hours a day,4,22,1,male,village,2-Jan,,TRUE
589,5,2,5,5,1,4,5,3,4,few hours a day,1,17,1,female,village,2-Jan,,FALSE
607,3,1,4,4,1,5,2,2,5,less than an hour a day,3,19,1,female,city,2-Jan,,FALSE
608,3,1,5,5,5,4,2,1,2,few hours a day,3,25,1,male,city,2-Jan,,FALSE
588,5,1,5,3,1,3,5,2,3,less than an hour a day,2,21,1,female,city,2-Jan,,FALSE
631,5,3,5,3,4,5,4,2,3,few hours a day,2,18,1,female,village,2-Jan,,FALSE
575,5,2,4,2,2,4,2,4,2,less than an hour a day,4,21,1,female,city,2-Jan,,TRUE
632,5,4,4,4,3,4,1,3,4,few hours a day,2,17,1,male,village,2-Jan,,FALSE
633,5,1,5,1,1,3,1,1,3,less than an hour a day,2,21,2,male,city,2-Jan,,FALSE
651,5,4,5,5,1,2,1,2,3,few hours a day,5,22,1,male,city,2-Jan,,FALSE
561,5,4,4,4,2,3,2,3,4,less than an hour a day,5,20,1,male,city,2-Jan,,FALSE
560,5,2,3,1,1,5,1,4,4,less than an hour a day,4,16,2,female,village,2-Jan,,TRUE
654,4,3,4,4,3,4,4,3,3,few hours a day,4,24,2,male,village,2-Jan,,FALSE
559,5,1,5,1,1,2,1,5,3,most of the day,3,20,1,female,village,2-Jan,,TRUE
655,5,4,5,1,3,1,4,4,4,few hours a day,3,19,1,female,village,2-Jan,,TRUE
558,NaN,2,3,3,2,4,5,2,4,few hours a day,2,19,2,female,city,2-Jan,,FALSE
657,5,1,5,1,1,3,4,3,3,most of the day,3,24,1,female,city,2-Jan,,FALSE
659,5,1,2,2,3,2,1,5,3,few hours a day,4,20,1,male,village,2-Jan,,TRUE
660,5,1,5,5,2,1,2,5,4,less than an hour a day,5,20,1,female,city,2-Jan,,TRUE
661,5,2,3,4,2,4,2,2,3,few hours a day,2,19,1,female,city,2-Jan,,FALSE
557,5,1,5,5,1,5,5,3,4,few hours a day,4,20,2,female,city,2-Jan,,FALSE
662,5,2,4,3,4,5,4,2,2,few hours a day,4,21,1,female,city,2-Jan,,FALSE
663,5,2,4,4,3,1,2,3,3,no time at all,3,25,1,male,city,2-Jan,,FALSE
664,5,1,5,3,1,2,2,2,4,few hours a day,4,28,1,female,village,2-Jan,,FALSE
665,5,4,5,4,1,5,3,3,3,few hours a day,3,20,1,female,city,2-Jan,,FALSE
666,5,1,4,3,1,5,2,5,3,few hours a day,2,20,2,female,city,2-Jan,,TRUE
650,5,3,5,3,4,5,2,4,2,few hours a day,3,20,1,male,city,2-Jan,,TRUE
668,5,1,4,2,4,2,2,4,2,few hours a day,3,27,1,male,city,2-Jan,,TRUE
649,5,2,5,3,1,5,5,4,3,few hours a day,2,17,1,female,city,2-Jan,,TRUE
563,5,2,5,5,1,4,4,1,4,few hours a day,1,20,1,male,village,2-Jan,,FALSE
634,5,2,4,3,2,2,4,2,4,few hours a day,3,19,1,female,village,2-Jan,,FALSE
635,4,1,4,4,1,2,3,3,4,less than an hour a day,3,25,1,female,city,2-Jan,,FALSE
636,5,3,5,5,1,4,3,1,4,few hours a day,1,24,2,male,village,2-Jan,,FALSE
574,5,5,5,3,1,4,1,3,3,less than an hour a day,3,20,1,female,village,2-Jan,,FALSE
571,3,4,4,1,4,4,3,4,5,few hours a day,5,19,2,male,village,2-Jan,,TRUE
569,5,2,5,4,3,5,2,3,3,few hours a day,3,20,1,female,city,2-Jan,,FALSE
568,5,3,5,1,1,1,3,4,4,most of the day,3,23,1,female,city,2-Jan,,TRUE
637,5,2,NaN,4,5,5,1,2,3,less than an hour a day,2,29,1,male,village,2-Jan,,FALSE
567,5,2,4,1,3,2,1,3,2,few hours a day,2,19,1,male,city,2-Jan,,FALSE
638,5,1,4,4,1,5,3,3,3,few hours a day,2,21,1,female,city,2-Jan,,FALSE
639,5,1,5,2,3,1,3,5,3,few hours a day,3,18,1,male,city,2-Jan,,TRUE
