,ride_id,duration,station_A_id,,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
49,66,16,30,San Francisco Ca,ltrain (Townsend St at 4th St),14,Clay St at Battery St,4445,Subscriber,1989,Male,26,2/27/2019
50,68,3,30,San Francisco Ca,ltrain (Townsend St at 4th St),321,5th St at Folsom,3494,Subscriber,1989,Male,26,12/8/2017
51,69,10,21,Montgomery St BART,Station (Market St at 2nd St),66,3rd St at Townsend St,5538,Subscriber,1975,Female,26,10/1/2019
52,70,8,67,San Francisco Caltr,ain Station 2  (Townsend St...,16,Steuart St at Market St,4940,Subscriber,1984,Male,27,10/31/2018
53,55,9,3,Powell St BART,Station (Market St at 4th St),115,Jackson Playground,4343,Subscriber,1985,Male,27,8/12/2017
54,72,10,21,Montgomery St BART,Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),4603,Subscriber,1990,Male,27,1/21/2018
55,73,9,21,Montgomery St BART,Station (Market St at 2nd St),64,5th St at Brannan St,3284,Subscriber,1992,Male,27,8/13/2019
56,74,9,16,,Steuart St at Market St,30,San Francisco Caltrain (Townsend St at 4th St),5296,Subscriber,1985,Male,27,1/18/2018
57,75,7,3,Powell St BART,Station (Market St at 4th St),58,Market St at 10th St,2651,Subscriber,1993,Male,27,2/1/2018
58,76,10,67,San Francisco Caltr,ain Station 2  (Townsend St...,16,Steuart St at Market St,2981,Subscriber,1988,Male,27,4/28/2017
59,77,7,67,San Francisco Caltr,ain Station 2  (Townsend St...,101,15th St at Potrero Ave,2984,Subscriber,1983,Male,27,1/8/2018
60,78,10,81,,Berry St at 4th St,21,Montgomery St BART Station (Market St at 2nd St),5549,Customer,1982,Male,27,6/2/2019
61,79,7,22,,Howard St at Beale St,30,San Francisco Caltrain (Townsend St at 4th St),5343,Customer,1987,Female,26,7/24/2019
62,80,9,81,,Berry St at 4th St,130,22nd St Caltrain Station,5528,Subscriber,1984,Male,26,2/20/2018
63,81,5,3,Powell St BART,Station (Market St at 4th St),16,Steuart St at Market St,2293,Subscriber,1988,Male,26,4/29/2018
64,88,5,21,Montgomery St BART,Station (Market St at 2nd St),343,Bryant St at 2nd St,5497,Subscriber,1977,Male,27,7/4/2017
65,55,9,3,Powell St BART,Station (Market St at 4th St),115,Jackson Playground,4343,Subscriber,1985,Male,27,8/12/2017
66,90,2,30,San Francisco Ca,ltrain (Townsend St at 4th St),50,2nd St at Townsend St,5354,Subscriber,1982,Male,27,3/4/2018
67,92,15,15,San Francisco Ferry,Building (Harry Bridges Pl...,93,4th St at Mission Bay Blvd S,2046,Subscriber,1965,Female,27,12/9/2017
68,93,9,30,San Francisco Ca,ltrain (Townsend St at 4th St),24,Spear St at Folsom St,5548,Subscriber,1942,Male,27,4/13/2018
69,94,25,21,Montgomery St BART,Station (Market St at 2nd St),119,18th St at Noe St,532,Subscriber,1993,Male,27,12/6/2019
70,95,11,30,San Francisco Ca,ltrain (Townsend St at 4th St),14,Clay St at Battery St,2047,Subscriber,1959,Male,27,12/22/2018
71,96,7,22,,Howard St at Beale St,30,San Francisco Caltrain (Townsend St at 4th St),5417,Subscriber,1991,Male,27,6/30/2017
72,98,21,67,San Francisco Caltr,ain Station 2  (Townsend St...,13,Commercial St at Montgomery St,1846,Subscriber,1989,Male,27,12/10/2018
73,99,15,30,San Francisco Ca,ltrain (Townsend St at 4th St),14,Clay St at Battery St,1194,Subscriber,1968,Male,27,11/11/2018
74,71,11,3,Powell St BART,Station (Market St at 4th St),44,Civic Center/UN Plaza BART Station (Market St ...,4805,Customer,1997,Male,27,2/3/2018
75,71,11,3,Powell St BART,Station (Market St at 4th St),44,Civic Center/UN Plaza BART Station (Market St ...,4805,Customer,1997,Male,27,2/3/2018
76,89,9,15,San Francisco Ferry,Building (Harry Bridges Pl...,81,Berry St at 4th St,5552,Subscriber,1986,Male,26,9/9/2018
77,89,9,15,San Francisco Ferry,Building (Harry Bridges Pl...,81,Berry St at 4th St,5552,Subscriber,2060,Male,26,9/9/2018
