,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
74,2526,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,60,Somewhat clean,Somewhat safe,Somewhat satisfied
75,3041,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,185,Somewhat clean,Very safe,Somewhat satisfied
76,813,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Somewhat satisfied
77,1523,Wednesday,JETBLUE,NEW YORK-JFK,EAST US,Hub,Gates 1-12,12/31/2018,81,Somewhat clean,Very safe,Somewhat satisfied
78,2796,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,160,Somewhat clean,Somewhat safe,Somewhat satisfied
79,3255,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,105,Average,Somewhat safe,Neutral
80,2042,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,180,Somewhat clean,Very safe,Somewhat satisfied
81,3062,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,215,Clean,Somewhat safe,Somewhat satisfied
82,2026,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satisfied
83,1793,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,150,Clean,Somewhat safe,Somewhat satisfied
84,1366,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,170,Clean,Very safe,Somewhat satisfied
85,1017,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,110,Somewhat clean,Very safe,Somewhat satisfied
86,2501,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,120,Somewhat clean,Neutral,Somewhat satisfied
88,3202,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/2018,210,Clean,Neutral,Somewhat satisfied
89,1747,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Very satisfied
90,1954,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,245,Clean,Very safe,Very satisfied
91,643,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,12/31/2018,160,Somewhat clean,Neutral,Somewhat satisfied
93,2258,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,355,Somewhat clean,Somewhat safe,Somewhat satisfied
94,2334,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Clean,Very safe,Very satisfied
95,1887,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,85,Somewhat clean,Neutral,Neutral
97,363,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satisfied
99,2443,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,177,Clean,Very safe,Somewhat satisfied
100,2321,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,130,Unacceptable,Somewhat safe,Somewhat satisfied
101,1593,Thursday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,50,Clean,Very safe,Very satisfied
103,716,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,270,Clean,Very safe,Very satisfied
104,2320,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
106,2038,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,150,Average,Somewhat safe,Neutral
107,550,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,245,Somewhat clean,Somewhat safe,Somewhat satisfied
108,746,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,120,Clean,Very safe,Very satisfied
109,2739,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,32,Somewhat clean,Very safe,Somewhat satisfied
110,1984,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,Hub,Gates 1-12,12/31/2018,115,Average,Neutral,Somewhat unsatisfied
111,2566,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,103,Clean,Very safe,Somewhat satisfied
112,2200,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satisfied
113,340,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,240,Somewhat clean,Somewhat safe,Somewhat satisfied
114,1252,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,120,Somewhat clean,Somewhat safe,Very satisfied
115,1946,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,305,Clean,Very safe,Neutral
116,2627,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,75,Clean,Very safe,Very satisfied
117,1563,Wednesday,DELTA,ATLANTA,East US,Hub,Gates 40-48,12/31/2018,135,Somewhat clean,Somewhat safe,Neutral
118,752,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Somewhat safe,Neutral
120,3135,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,70,Somewhat clean,Very safe,Somewhat satisfied
121,1123,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,90,Somewhat clean,Very safe,Somewhat satisfied
122,2220,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,95,Somewhat clean,Very safe,Very satisfied
123,3065,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,112,Average,Neutral,Neutral
124,3052,Tuesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Somewhat safe,Somewhat satisfied
125,2847,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,12/31/2018,142,Average,Very safe,Somewhat satisfied
127,884,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,85,Clean,Very safe,Very satisfied
128,2054,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied
129,1571,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,12/31/2018,155,Somewhat clean,Very safe,Neutral
130,747,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,120,Somewhat clean,Very safe,Very satisfied
132,1799,Sunday,ALASKA,RALEIGH-DURHAM,EAST US,Medium,Gates 50-59,12/31/2018,265,Somewhat clean,Neutral,Somewhat satisfied
134,2281,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,225,Average,Neutral,Somewhat unsatisfied
135,2711,Friday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,12/31/2018,122,Somewhat clean,Somewhat safe,Somewhat satisfied
136,917,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,90,Somewhat clean,Somewhat safe,Neutral
137,2091,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,12/31/2018,97,Somewhat clean,Somewhat safe,Somewhat satisfied
139,265,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,415,Average,Neutral,Neutral
140,2387,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,135,Somewhat clean,Neutral,Neutral
141,3254,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,150,Somewhat clean,Very safe,Somewhat satisfied
142,772,Thursday,UNITED INTL,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 91-102,12/31/2018,90,Somewhat clean,Very safe,Very satisfied
143,465,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,131,Average,Somewhat safe,Somewhat satisfied
144,374,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,105,Somewhat clean,Neutral,Somewhat satisfied
145,367,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,135,Somewhat clean,Very safe,Somewhat satisfied
146,2113,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,514,Average,Somewhat safe,Somewhat satisfied
148,1970,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Clean,Very safe,Somewhat satisfied
149,1012,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,185,Clean,Very safe,Somewhat satisfied
150,1739,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,75,Somewhat clean,Somewhat safe,Very satisfied
151,2004,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,170,Somewhat clean,Somewhat safe,Very satisfied
152,2016,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,98,Clean,Very safe,Somewhat satisfied
153,2262,Saturday,UNITED,BAKERSFIELD,West US,Small,Gates 70-90,12/31/2018,166,Somewhat dirty,Very safe,Somewhat unsatisfied
154,2482,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,90,Somewhat clean,Neutral,Somewhat unsatisfied
155,2969,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,65,Clean,Very safe,Very satisfied
156,2575,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,90,Clean,Somewhat safe,Very satisfied
157,637,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,12/31/2018,110,Clean,Very safe,Very satisfied
158,2497,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,139,Somewhat clean,Somewhat safe,Somewhat satisfied
160,1724,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,150,Clean,Very safe,Very satisfied
161,805,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,160,Somewhat clean,Very safe,Neutral
162,3169,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,60,Average,Very safe,Somewhat satisfied
163,1090,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
164,270,Thursday,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,12/31/2018,130,Clean,Very safe,Very satisfied
165,569,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satisfied
166,2319,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,220,Average,Very safe,Somewhat unsatisfied
167,3223,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,60,Clean,Very safe,Very satisfied
168,2922,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satisfied
169,13,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,90,Average,Somewhat safe,Somewhat satisfied
170,1719,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,510,Average,Somewhat safe,Neutral
171,3186,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,53,Average,Somewhat safe,Somewhat satisfied
172,2157,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Clean,Very safe,Very satisfied
173,1103,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,120,Clean,Very safe,Very satisfied
174,2053,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,90,Average,Somewhat safe,Neutral
175,2353,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Somewhat satisfied
176,3048,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,215,Somewhat clean,Very safe,Somewhat satisfied
177,2143,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,123,Clean,Very safe,Somewhat satisfied
178,1113,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,120,Clean,Very safe,Very satisfied
180,1303,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,140,Clean,Very safe,Neutral
181,1261,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,12/31/2018,195,Clean,Very safe,Somewhat satisfied
182,9004,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,335,Clean,Very safe,Very satisfied
183,1913,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,215,Clean,Very safe,Somewhat satisfied
184,3035,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,216,Somewhat clean,Somewhat safe,Somewhat satisfied
185,1542,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
186,2352,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Clean,Very safe,Somewhat satisfied
187,801,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied
189,529,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,240,Somewhat dirty,Somewhat safe,Neutral
191,3107,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,247,Clean,Very safe,Very satisfied
192,1785,Saturday,UNITED,RALEIGH-DURHAM,EAST US,Medium,Gates 70-90,12/31/2018,130,Average,Neutral,Neutral
193,202,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,85,Somewhat clean,Somewhat safe,Somewhat satisfied
194,883,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,145,Average,Very safe,Neutral
195,3142,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,45,Somewhat clean,Very safe,Somewhat satisfied
196,3157,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,135,Somewhat clean,Very safe,Neutral
197,1894,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Very safe,Somewhat satisfied
198,458,Sunday,UNITED,DALLAS-FT. WORTH,Midwest US,Hub,Gates 60-69,12/31/2018,250,Somewhat clean,Somewhat safe,Very satisfied
199,2020,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,12/31/2018,105,Somewhat clean,Neutral,Neutral
200,312,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,182,Somewhat clean,Very safe,Very satisfied
201,2903,Friday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,195,Clean,Very safe,Very satisfied
202,2108,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,119,Somewhat clean,Very safe,Somewhat satisfied
203,339,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,180,Average,Neutral,Neutral
204,2938,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,135,Average,Neutral,Neutral
205,1396,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,295,Somewhat clean,Very safe,Neutral
206,1843,Wednesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,55,Average,Somewhat safe,Somewhat satisfied
207,3038,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,362,Somewhat clean,Somewhat safe,Somewhat satisfied
208,1482,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/2018,179,Somewhat clean,Very safe,Somewhat satisfied
209,2670,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,260,Average,Very safe,Somewhat satisfied
211,756,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Somewhat satisfied
212,2128,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,243,Clean,Very safe,Somewhat satisfied
213,1514,Wednesday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
215,2481,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,89,Average,Somewhat safe,Neutral
217,1150,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,50,Clean,Very safe,Very satisfied
218,1105,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Neutral,Somewhat satisfied
219,2945,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,65,Somewhat clean,Somewhat safe,Somewhat satisfied
