date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
5/8/2016,0.82,4.63E+07,1.42E+07,1.79E+07,1.99E+06,1.22E+07,8.75E+06,3.34E+06,120650.09
5/1/2016,0.84,4.29E+07,1.38E+07,1.59E+07,1.41E+06,1.18E+07,8.38E+06,3.37E+06,62734.87
4/24/2016,0.87,3.96E+07,1.29E+07,1.44E+07,1.60E+06,1.07E+07,7.84E+06,2.80E+06,75010.64
4/17/2016,0.9,3.75E+07,NaN,1.29E+07,1.90E+06,1.07E+07,8.13E+06,2.47E+06,125169.4
4/10/2016,0.9,3.66E+07,1.29E+07,NaN,1.67E+06,1.05E+07,7.81E+06,2.61E+06,77737.02
4/3/2016,0.94,3.37E+07,1.13E+07,1.15E+07,1.73E+06,9.10E+06,6.83E+06,2.21E+06,59188.81
3/27/2016,0.94,3.59E+07,1.13E+07,1.28E+07,1.88E+06,1.01E+07,7.75E+06,2.23E+06,82386.14
3/20/2016,0.93,3.63E+07,NaN,1.37E+07,1.77E+06,9.70E+06,7.25E+06,2.37E+06,77638.79
3/13/2016,0.93,3.64E+07,1.17E+07,1.31E+07,1.80E+06,9.81E+06,7.23E+06,2.52E+06,55589
3/6/2016,0.95,3.51E+07,1.18E+07,1.22E+07,1.69E+06,9.36E+06,7.50E+06,1.75E+06,106815.12
2/28/2016,0.91,3.68E+07,1.19E+07,1.32E+07,1.56E+06,1.01E+07,7.25E+06,2.80E+06,69494.92
2/21/2016,0.94,3.28E+07,NaN,1.20E+07,1.38E+06,9.41E+06,7.21E+06,2.15E+06,45654.02
2/14/2016,0.88,3.65E+07,1.19E+07,1.32E+07,1.81E+06,9.56E+06,7.10E+06,2.39E+06,74421.62
2/7/2016,0.76,5.23E+07,1.66E+07,2.05E+07,2.55E+06,1.27E+07,9.08E+06,3.37E+06,241661.48
1/31/2016,0.93,3.47E+07,1.11E+07,1.33E+07,1.64E+06,8.70E+06,6.69E+06,1.82E+06,192999.8
1/24/2016,0.95,3.28E+07,7.02E+06,1.41E+07,1.44E+06,1.03E+07,7.44E+06,2.67E+06,165014.74
1/17/2016,0.94,3.44E+07,1.00E+07,1.38E+07,1.42E+06,9.14E+06,6.85E+06,2.23E+06,63337.4
1/10/2016,0.93,3.53E+07,NaN,1.32E+07,1.28E+06,9.31E+06,6.74E+06,2.53E+06,50874.09
1/3/2016,0.86,3.81E+07,NaN,1.61E+07,1.56E+06,8.91E+06,6.47E+06,2.29E+06,159083.8
