,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
264,2000,film actress,4/26/2000,Acting,Jeanne Tripplehorn
265,2000,actor,4/27/2000,Acting,Stephen Baldwin
266,2000,Film actress,5/1/2000,Acting,S. Epatha Merkerson
267,2000,actor,5/10/2000,Acting,Andy Richter
268,2000,actress,5/11/2000,Acting,Betty White
269,2000,television actress,5/15/2000,Acting,Tracey Ullman
270,2000,actor,5/16/2000,Acting,Kyle MacLachlan
271,2000,actress,5/17/2000,Acting,Jane Leeves
272,2000,actor,5/18/2000,Acting,Michael Rapaport
273,2000,actor,5/2/2000,Acting,Luke Wilson
274,2000,actress,5/3/2000,Acting,Julie Warner
275,2000,actress,5/30/2000,Acting,Laura Kightlinger
276,2000,actress,5/31/2000,Acting,Thandie Newton
277,2000,actor,5/4/2000,Acting,Eric Close
278,2000,actress,5/8/2000,Acting,Wendie Malick
279,2000,actor,5/9/2000,Acting,Jesse L. Martin
280,2000,reality show contestant,6/1/2000,Media,Sonja Christopher
281,2000,actor,6/13/2000,Acting,Mark Curry
282,2000,television host,6/14/2000,Media,Jimmy Kimmel & Adam Carolla
283,2000,comedian,6/14/2000,Comedy,Jimmy Kimmel & Adam Carolla
284,2000,actress,6/15/2000,Acting,Julie Brown
285,2000,writer,6/19/2000,Media,Heather Donahue
286,2000,former press secretary,6/20/2000,Political Aide,Joe Lockhart
287,2000,actor,6/21/2000,Acting,Freddie Prinze Jr.
288,2000,actress,6/22/2000,Acting,Alicia Silverstone
289,2000,comic,6/26/2000,Comedy,Cheri Oteri
290,2000,game show host,6/27/2000,Media,Jeff Probst
291,2000,Guitarist,6/28/2000,Musician,Richie Sambora
292,2000,actor,6/29/2000,Acting,John C. Reilly
293,2000,magician,6/5/2000,Media,Penn and Teller
294,2000,actress,6/6/2000,Acting,Kelli Williams
295,2000,Filmmaker,6/7/2000,Media,Michael Moore
296,2000,actress,7/10/2000,Acting,Anna Paquin
297,2000,actor,7/11/2000,Acting,J. K. Simmons
298,2000,actress,7/12/2000,Acting,Famke Janssen
299,2000,actor,7/13/2000,Acting,Billy Crudup
300,2000,actor,7/17/2000,Acting,Shawn Wayans & Marlon Wayans
301,2000,actor,7/17/2000,Acting,Shawn Wayans & Marlon Wayans
302,2000,actress,7/18/2000,Acting,Halle Berry
303,2000,NaN,7/19/2000,NaN,Fourth Anniversary Special
304,2000,television personality,7/20/2000,Media,Al Roker
305,2000,actor,7/24/2000,Acting,Peter Fonda
306,2000,writer,7/25/2000,Media,Joe Eszterhas
307,2000,actress,7/26/2000,Acting,Jennifer Beals
308,2000,NaN,7/31/2000,NaN,Campaign Trail to the Road to the White House ...
309,2000,american politician,8/1/2000,Politician,Bob Dole
310,2000,former governor of nebraska,8/15/2000,Politician,Bob Kerrey
311,2000,actor,8/16/2000,Acting,William Baldwin
312,2000,american politician,8/18/2000,Politician,Bob Dole
313,2000,Former U.S. Representative,8/2/2000,Politician,Mary Bono
314,2000,actor,8/22/2000,Acting,Jeremy Piven
315,2000,Musician,8/23/2000,Musician,Slash
316,2000,actor,8/24/2000,Acting,Vincent D'Onofrio
317,2000,american politician,8/3/2000,Politician,Bob Dole
318,2000,Former United States Secretary of Labor,8/4/2000,Politician,Robert Reich and Ben Stein
319,2000,writer,8/4/2000,Media,Robert Reich and Ben Stein
320,2000,actor,9/11/2000,Acting,Joe Mantegna
321,2000,actor,9/12/2000,Acting,Eugene Levy
322,2000,boxer,9/13/2000,Athletics,Lennox Lewis
323,2000,former us senator,9/14/2000,Politician,Joe Lieberman
324,2000,actor,9/18/2000,Acting,Ryan Phillippe
325,2000,actress,9/19/2000,Acting,Jamie Lee Curtis
326,2000,rock band,9/20/2000,Musician,Barenaked Ladies
327,2000,actor,9/21/2000,Acting,Jamie Foxx
328,2000,comedian,9/25/2000,Comedy,Jonathan Katz
329,2000,actor,9/26/2000,Acting,Bill Goldberg
330,2000,actor,9/27/2000,Acting,Sylvester Stallone
331,2000,actor,9/28/2000,Acting,Tony Danza
332,2000,film actor,9/5/2000,Acting,Donal Logue
333,2000,actor,9/6/2000,Acting,Greg Kinnear
334,2000,Band,9/7/2000,Musician,Spinal Tap
335,2001,singer,1/10/2001,Musician,Vitamin C
336,2001,actress,1/11/2001,Acting,Julia Stiles
337,2001,actor,1/15/2001,Acting,Willem Dafoe
338,2001,actor,1/16/2001,Acting,Tim Robbins
339,2001,Reporter,1/17/2001,Media,Sam Donaldson
340,2001,actress,1/18/2001,Acting,Lynn Whitfield
341,2001,television host,1/22/2001,Media,Bill O'Reilly
342,2001,actor,1/23/2001,Acting,Matthew McConaughey
343,2001,American football quarterback,1/24/2001,Athletics,Terry Bradshaw
344,2001,actor,1/25/2001,Acting,Topher Grace
345,2001,actor,1/29/2001,Acting,David Boreanaz
346,2001,film actress,1/30/2001,Acting,Dyan Cannon
347,2001,actor,1/31/2001,Acting,James van der Beek
348,2001,Comedian,1/9/2001,Comedy,Richard Lewis
349,2001,actor,10/1/2001,Acting,Kelsey Grammer
350,2001,actor,10/10/2001,Acting,Jeremy Piven
351,2001,journalist,10/11/2001,Media,John Miller
352,2001,chef,10/15/2001,Misc,Emeril Lagasse
353,2001,actress,10/16/2001,Acting,Lorraine Bracco
354,2001,actor,10/17/2001,Acting,Snoop Dogg
355,2001,journalist,10/18/2001,Media,Fareed Zakaria
356,2001,actor,10/2/2001,Acting,James Belushi
357,2001,Singer,10/22/2001,Musician,Lance Bass
358,2001,journalist,10/23/2001,Media,Don Dahler
359,2001,commentator,10/24/2001,Media,Greta Van Susteren
360,2001,actor,10/25/2001,Acting,Jeff Bridges
361,2001,professor,10/3/2001,Academic,Stephen S. Morse
362,2001,actor,10/30/2001,Acting,Rob Morrow
363,2001,Diplomat,10/31/2001,Government,Richard Holbrooke
364,2001,actress,10/4/2001,Acting,Kate Beckinsale
365,2001,actor,10/9/2001,Acting,Owen Wilson
366,2001,actor,11/1/2001,Acting,Kevin Spacey
367,2001,Journalist,11/12/2001,Media,Steve Kroft
368,2001,television presenter,11/13/2001,Media,Anne Robinson
369,2001,american television personality,11/14/2001,Media,Carson Daly
370,2001,actor,11/15/2001,Acting,John Stamos
371,2001,actor,11/26/2001,Acting,Edward Burns
372,2001,Lawyer,11/27/2001,Misc,Star Jones
373,2001,actress,11/28/2001,Acting,Jennifer Garner
374,2001,journalist,11/29/2001,Media,David Halberstam
375,2001,actor,11/5/2001,Acting,Paul Rudd
376,2001,Political satirist,11/6/2001,Media,P. J. O'Rourke
377,2001,white house sommunications director,11/7/2001,Political Aide,George Stephanopoulos
378,2001,comedian,11/8/2001,Comedy,Jennifer Saunders
379,2001,Comedian,12/10/2001,Comedy,Stephen Colbert as Al Sharpton (Sharpton had b...
380,2001,comedian,12/11/2001,Comedy,Dave Gorman
381,2001,film actress,12/12/2001,Acting,Janeane Garofalo
382,2001,television actress,12/13/2001,Acting,Tracey Ullman
383,2001,actor,12/17/2001,Acting,Elijah Wood
384,2001,Author,12/18/2001,Media,Peggy Noonan
385,2001,actor,12/19/2001,Acting,Gary Sinise
386,2001,actor,12/20/2001,Acting,Jamie Foxx
387,2001,Professor,12/3/2001,Academic,Nadine Strossen
388,2001,telvision personality,12/4/2001,Media,John Edward
389,2001,actress,12/5/2001,Acting,Marg Helgenberger
390,2001,actor,12/6/2001,Acting,Ted Danson
391,2001,actor,2/1/2001,Acting,Tim Blake Nelson
392,2001,musician,2/12/2001,Musician,Dave Grohl
393,2001,muppet,2/13/2001,Media,Kermit the Frog
394,2001,actress,2/14/2001,Acting,Jessica Alba
395,2001,Comedian,2/15/2001,Comedy,Wanda Sykes
396,2001,actor,2/20/2001,Acting,Greg Germann
397,2001,comedian,2/21/2001,Comedy,Chris Rock
398,2001,actress,2/22/2001,Acting,Kelly Ripa
399,2001,actor,2/26/2001,Acting,Ted Danson
400,2001,actor,2/27/2001,Acting,Joe Pantoliano
401,2001,actress,2/28/2001,Acting,Heather Locklear
402,2001,Former United States Deputy Secretary of State,3/1/2001,Government,Warren Christopher
403,2001,actor,3/19/2001,Acting,Chris Meloni
404,2001,actress,3/20/2001,Acting,Mary Stuart Masterson
405,2001,news anchor,3/21/2001,Media,Jeff Varner
406,2001,actor,3/22/2001,Acting,Denis Leary
407,2001,Columnist,3/26/2001,Media,Richard Roeper
408,2001,Comedian,3/27/2001,Comedy,Richard Lewis
409,2001,television actor,3/28/2001,Acting,Mark Harmon
410,2001,actress,3/29/2001,Acting,Jennifer Love Hewitt
411,2001,actor,3/5/2001,Acting,Martin Short
412,2001,actor,3/6/2001,Acting,Ed Burns
413,2001,model,3/7/2001,Media,Carmen Electra
414,2001,actor,3/8/2001,Acting,Javier Bardem
415,2001,sportscaster,4/10/2001,Media,Bob Costas
416,2001,actor,4/11/2001,Acting,Damon Wayans
417,2001,television actress,4/12/2001,Acting,Brittany Daniel
418,2001,journalist,4/2/2001,Media,Lisa Ling
419,2001,television producer,4/23/2001,Media,Don Hewitt
420,2001,actress,4/24/2001,Acting,Rachael Leigh Cook
421,2001,actor,4/25/2001,Acting,Tom Green
422,2001,actor,4/26/2001,Acting,Tom Cavanagh
423,2001,actress,4/3/2001,Acting,Amy Sedaris
424,2001,actor,4/30/2001,Acting,Eric McCormack
425,2001,actor,4/4/2001,Acting,D.L. Hughley
426,2001,actor,4/5/2001,Acting,Steven Weber
427,2001,actor,4/9/2001,Acting,Paul Reubens
428,2001,actor,5/1/2001,Acting,Dominic Chianese
429,2001,television actress,5/10/2001,Acting,Patricia Richardson
430,2001,Film actress,5/14/2001,Acting,Maura Tierney
431,2001,actress,5/15/2001,Acting,Denise Qui??ones
432,2001,actor,5/16/2001,Acting,Heath Ledger
433,2001,former mayor of cincinatti,5/17/2001,Politician,Jerry Springer
434,2001,NaN,5/2/2001,NaN,No guest
435,2001,actor,5/29/2001,Acting,Richard Schiff
436,2001,actor,5/3/2001,Acting,Robert Patrick
437,2001,film actor,5/30/2001,Acting,Bradley Whitford
438,2001,actress,5/31/2001,Acting,Leah Remini
439,2001,singer,5/7/2001,Musician,Chris Robinson
440,2001,actor,5/8/2001,Acting,James Van Der Beek
441,2001,Guitarist,5/9/2001,Musician,Richie Sambora
442,2001,journalist,6/11/2001,Media,Joe Queenan
443,2001,bass guitarist,6/12/2001,Musician,Gene Simmons
444,2001,actor,6/13/2001,Acting,David Duchovny
445,2001,journalist,6/14/2001,Media,Jeff Greenfield
446,2001,actor,6/18/2001,Acting,Martin Short
447,2001,actor,6/19/2001,Acting,Michael Rapaport
448,2001,actor,6/20/2001,Acting,Alec Baldwin
449,2001,Singer,6/21/2001,Musician,M?_a
450,2001,actor,6/25/2001,Acting,Sam Robards
451,2001,stunt perfomrer,6/26/2001,Acting,Johnny Knoxville
452,2001,film actor,6/27/2001,Acting,Jet Li
453,2001,actress,6/28/2001,Acting,Bridget Fonda
454,2001,comedian,6/4/2001,Comedy,Jake Johannsen
455,2001,Stand-up comedian,6/5/2001,Comedy,Richard Belzer
456,2001,television personality,6/6/2001,Media,Al Roker
457,2001,stand-up comedian,6/7/2001,Comedy,Bernie Mac
458,2001,Pop group,7/10/2001,Musician,Spice Girls
459,2001,actor,7/11/2001,Acting,James Woods
460,2001,actor,7/12/2001,Acting,Vince Vaughn
461,2001,actor,7/16/2001,Acting,Jon Favreau
462,2001,Journalist,7/17/2001,Media,Maria Bartiromo
463,2001,actor,7/18/2001,Acting,Edward Norton
464,2001,actor,7/19/2001,Acting,Hank Azaria
465,2001,actor,7/23/2001,Acting,Larry Miller
466,2001,actor,7/24/2001,Acting,Paul Giamatti
467,2001,former us senator,7/25/2001,Politician,Joe Lieberman
468,2001,us senator,7/26/2001,Politician,John McCain
469,2001,actress,7/30/2001,Acting,Jerri Manthey
470,2001,Film actor,7/31/2001,Acting,Peter Krause
471,2001,actor,7/9/2001,Acting,Sean Hayes
472,2001,actor,8/1/2001,Acting,Jackie Chan
473,2001,writer,8/13/2001,Media,David Rakoff
474,2001,actor,8/14/2001,Acting,John Carpenter
475,2001,actor,8/15/2001,Acting,Seth Green
476,2001,model,8/16/2001,Media,Fabio
477,2001,film actress,8/2/2001,Acting,Janeane Garofalo
478,2001,actor,8/20/2001,Acting,Cuba Gooding Jr.
479,2001,actor,8/21/2001,Acting,Griffin Dunne
480,2001,actor,8/22/2001,Acting,Will Ferrell
481,2001,Screenwriter,8/23/2001,Media,Kevin Smith
