,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
615,Monmouth University,261600,2,1037,0.2663,0.6612,0.741906,4194,8551,0.801369863,21500,87615.47,28093
616,New Jersey Institute of Technology,262100,2,1205,0.3799,0.4717,0.60761,5637,11585,0.853099731,18500,75892.84,17486
617,Princeton University,262700,2,1490,0.1465,0.0451,0.071381,4663,16675,PrivacySuppressed,7500,81428.25,8848
618,Ramapo College of New Jersey,934400,2,1090,0.2679,0.6076,0.532367,4906,10934,0.849258649,18786,88597.61,22013
619,Rider University,262800,2,1014,0.2748,0.6493,0.690082,4178,11520,0.862068966,20000,85423.56,28298
620,Rutgers University-Camden,262901,2,1187,0.4779,0.7373,0.597663,3717,10745,0.809035165,19500,82669.68,14094
621,Rutgers University-New Brunswick,262900,2,1187,0.3095,0.5227,0.597663,27938,11282,0.809035165,19500,82669.68,19924
622,Rutgers University-Newark,262902,2,1187,0.5304,0.579,0.597663,5873,12872,0.809035165,19500,82669.68,13705
623,Saint Peter's University,263800,2,918,0.5838,0.6085,0.673145,2687,8592,0.678646935,16650,63508.52,12958
624,Seton Hall University,263200,2,1145,0.2929,0.5659,0.762475,5403,9364,0.869608827,19500,79591.86,27199
625,College of Saint Elizabeth,260000,2,806,0.4726,0.6168,0.631841,1337,7255,0.826484018,14250,82332.62,16413
626,Stevens Institute of Technology,263900,2,1340,0.184,0.6037,0.435627,1599,12019,PrivacySuppressed,26500,83951.71,32869
627,Stockton University,934500,2,1074,0.3547,0.6543,0.644173,5976,9116,0.769230769,18166,73199.66,19244
628,The College of New Jersey,264200,2,1227,0.1763,0.5185,0.486714,6010,9678,0.923076923,21500,86752.57,24079
629,William Paterson University of New Jersey,262500,2,990,0.4201,0.6389,0.742869,8454,10350,0.767306574,18250,80256.1,16643
630,Eastern New Mexico University-Main Campus,265100,6,947,0.3574,0.329,0.498321,2942,6721,0.688311688,8250,42974.58,9938
631,New Mexico Institute of Mining and Technology,265400,6,1191,0.3019,0.425,0.244472,1238,8037,PrivacySuppressed,10500,52104.89,11785
632,University of New Mexico-Main Campus,266300,6,1040,0.3996,0.5211,0.578816,16414,8918,0.761298274,13051,49538.77,9027
633,New Mexico State University-Main Campus,265700,6,983,0.427,0.4046,0.657601,12453,8402,0.730317065,10801,43867.23,9663
634,Adelphi University,266600,2,1094,0.3147,0.5971,0.721896,3099,12033,0.827306273,21466,80864.95,28082
635,Albany College of Pharmacy and Health Sciences,288500,2,1176,0.2408,0.809,0.658691,581,8150,0.962616822,24000,60872.01,31053
636,Alfred University,266800,2,1057,0.3755,0.7651,0.684066,1361,6475,0.887804878,21750,63665.1,20214
637,Barnard College,270800,2,1357,0.1823,0.3323,0.196243,2285,12543,PrivacySuppressed,16250,75897.42,25680
638,Canisius College,268100,2,1078,0.3142,0.6869,0.869803,3349,7845,0.851174935,20600,61812.51,19376
639,Clarkson University,269900,2,1198,0.2686,0.7481,0.680568,2539,10338,0.908701855,24500,62331.73,29243
640,Colgate University,270100,2,1374,0.1228,0.271,0.273613,2811,11422,0.915309446,15000,81701.81,22687
641,Columbia University in the City of New York,270700,2,1473,0.2194,0.258,0.066051,6623,17555,0.898054475,19000,76971.15,21031
642,Concordia College-New York,270900,2,895,0.3877,0.6176,0.713867,578,6810,0.714285714,22777,76194.22,17198
643,Cornell University,271100,2,1428,0.1547,0.3032,0.150716,8381,14317,0.902908469,11750,80346.48,29711
644,CUNY Bernard M Baruch College,727300,2,1230,0.454,0.1209,0.324356,13025,11827,0.822033898,7939.5,53216.18,7014
645,CUNY Brooklyn College,268700,2,1115,0.4981,0.1625,0.373106,10094,10275,0.638349515,7531,49392.3,6451
646,CUNY City College,268800,2,1125,0.5296,0.2111,0.429689,8155,11047,0.671150972,8775,48071.31,6002
647,CUNY Hunter College,268900,2,1165,0.4243,0.1262,0.386648,15421,10626,0.681392236,9000,55390.45,7742
648,CUNY John Jay College of Criminal Justice,269300,2,975,0.5515,0.1487,0.365502,9559,9864,0.616666667,7500,51361.88,5294
649,CUNY Lehman College,702200,2,1025,0.5322,0.2315,0.299517,6922,9786,0.632801161,7251,41652.24,5465
650,CUNY Queens College,269000,2,1110,0.3976,0.1262,0.404377,10964,10166,0.655172414,7812,63917.39,6678
651,CUNY York College,475900,2,885,0.5002,0.1039,0.404997,5357,9360,0.632034632,5500,55168.11,5742
652,D'Youville College,271200,2,1036,0.3434,0.6602,0.72623,976,6324,0.830645161,19500,52394.78,18548
653,Dominican College of Blauvelt,271300,2,879,0.439,0.855,0.71465,1564,8019,0.713930348,15000,77440.46,18656
654,Fordham University,272200,2,1273,0.1995,0.5275,0.475719,6989,13305,0.880664653,21500,77653.15,34042
655,Houghton College,273400,2,1110,0.443,0.7095,0.945666,1409,5807,0.938016529,19853,59922.67,21253
656,Iona College,273700,2,1005,0.2808,0.5895,0.912068,3422,9222,0.835164835,19500,78814.8,27862
657,Jewish Theological Seminary of America,274000,2,1363,0,0.3205,0.518868,180,8531,PrivacySuppressed,24120.5,85212.94,35796
658,LIM College,746600,2,962,0.3138,0.6456,0.905607,285,5782,0.783050848,18862.5,78436.88,34849
659,Le Moyne College,274800,2,1073,0.3068,0.695,0.617566,2399,8786,0.830927835,19999,60497.51,23374
660,LIU Brooklyn,275116,2,1010,0.5869,0.6806,0.860908,5554,10324,0.762141968,19215,50877.21,24302
661,LIU Post,275100,2,1010,0.1856,0.2989,0.860908,6032,11121,0.762141968,19215,69416.15,27928
662,Manhattan College,275800,2,1097,0.2918,0.6137,0.668471,2694,10059,0.916058394,21500,83053.51,28114
663,Marymount Manhattan College,276900,2,1038,0.2578,0.648,0.83808,2497,8379,0.780555556,16734.5,77729.18,34538
664,Medaille College,277700,2,868,0.5569,0.78,0.6919,1496,5369,0.799457995,14250,56197.77,16235
665,Molloy College,277500,2,1067,0.3097,0.6862,0.755211,2020,10339,0.817283951,23082.5,87964.15,27427
666,Mount Saint Mary College,277800,2,982,0.3472,0.7235,0.895724,1694,8506,0.826446281,20000,74923.28,25270
667,College of Mount Saint Vincent,270300,2,906,0.4673,0.8256,0.860644,1202,8389,0.776470588,25000,63240.6,18425
668,The College of New Rochelle,270400,2,948,0.7386,0.6341,0.73385,5191,8121,0.41838488,16000,41804.07,33957
669,New York University,278500,2,1360,0.2179,0.3781,0.320734,18628,13803,0.868104982,20500,82106.43,36419
670,Niagara University,278800,2,1037,0.2717,0.6486,0.847417,2473,8019,0.853233831,21051.5,60954.17,19589
671,New York Institute of Technology,278200,2,1074,0.3568,0.4731,0.677679,3052,11403,0.759930915,18900.5,72244.37,21786
672,Nyack College,279000,2,901,0.5372,0.8053,0.985685,1786,6590,0.645669291,14750,61585.03,18950
673,Pace University-New York,279100,2,1060,0.3039,0.5438,0.838303,5755,11623,0.80110117,18500,74848.68,27416
674,Pratt Institute-Main,279800,2,1085,0.2321,0.4725,0.573865,1495,10119,0.855029586,23125,75295.69,40435
675,Rensselaer Polytechnic Institute,280300,2,1368,0.1602,0.5721,0.418657,5167,12406,0.970866715,27000,74851.88,34841
676,Roberts Wesleyan College,280500,2,1067,0.3937,0.7156,0.663158,1208,6537,0.81498829,18750,60753.22,20363
677,Rochester Institute of Technology,280600,2,1251,0.2948,0.612,0.57275,11786,9719,0.875449102,24689,69175.72,26410
678,St Bonaventure University,281700,2,1066,0.2779,0.6871,0.65988,2202,6628,PrivacySuppressed,22500,64352.24,22784
679,St Francis College,282000,2,909,0.4511,0.5178,0.787768,2304,9101,0.768768769,16000,53129.58,16091
680,St. Thomas Aquinas College,283200,2,942,0.2354,0.4208,0.788843,1949,8676,0.827906977,16750,86845.1,19298
681,Skidmore College,281400,2,1239,0.1375,0.3226,0.364951,2451,9218,0.93,17950,78806.42,25413
682,St. Joseph's College-New York,282500,2,1010,0.3243,0.5476,0.679193,1300,8724,0.761339093,18500,81308.04,15816
683,Saint John Fisher College,282100,2,1087,0.3007,0.7731,0.623637,2175,8727,0.851041667,20364.5,63735.93,24915
684,St John's University-New York,282300,2,1080,0.2874,0.4322,0.649255,14229,12027,0.83042394,20500,69749.7,27044
685,SUNY College of Technology at Alfred,285400,2,1016,0.5228,0.7271,0.567997,2735,5905,0.80733945,12000,55015.93,15367
686,SUNY College of Agriculture and Technology at ...,285600,2,882,0.5369,0.684,0.733505,2303,6567,0.784916201,11000,60485.06,15614
687,Farmingdale State College,285800,2,994,0.2993,0.3156,0.440068,5045,8243,0.720930233,11179.5,86057.23,9182
688,Morrisville State College,285900,2,854,0.6,0.7502,0.582719,3033,5867,0.74501992,12000,55475.93,16904
689,SUNY at Albany,283500,2,1091,0.4003,0.5815,0.564445,11780,9256,0.833098592,16250,70013.16,16126
690,SUNY at Binghamton,283600,2,1305,0.2871,0.4664,0.424941,9858,9389,0.837850253,17250,71392.67,18870
691,University at Buffalo,283700,2,1173,0.3086,0.4716,0.599898,16683,10307,0.779105307,15000,63949.26,16695
692,Stony Brook University,283800,2,1271,0.3341,0.4411,0.409858,13257,11127,0.843159066,15634,76205.23,13717
693,SUNY College of Environmental Science and Fore...,285100,2,1215,0.2714,0.5689,0.519456,1166,8479,0.902578797,16950,63414.84,17615
694,SUNY Polytechnic Institute,1167800,2,1141,0.4103,0.5425,0.604571,2190,9389,0.779816514,12000,53376.47,15931
695,SUNY College at Brockport,284100,2,1032,0.3979,0.683,0.526658,6751,7406,0.745762712,15843,61824.2,15165
696,SUNY Buffalo State,284200,2,901,0.5122,0.6389,0.623145,9386,7733,0.750548005,14250,55484,12237
697,SUNY at Fredonia,284400,2,1050,0.373,0.7178,0.592548,4743,7087,0.843195266,18750,60720.74,17220
698,SUNY College at Geneseo,284500,2,1206,0.2609,0.5005,0.727352,5197,7415,0.853333333,16750,69095.17,17850
699,State University of New York at New Paltz,284600,2,1124,0.3145,0.5355,0.415148,6028,6971,0.817098809,16250,72171.58,16599
700,SUNY Oneonta,284700,2,1087,0.3072,0.6241,0.487179,5341,6540,0.852795031,18750,67183.32,17829
701,SUNY College at Oswego,284800,2,1103,0.3954,0.6857,0.51006,6989,6886,0.819935691,17000,60525.69,16314
702,SUNY at Purchase College,679100,2,1082,0.3332,0.5133,0.408047,3940,7244,0.790668348,18250,76919.71,19510
703,SUNY College at Old Westbury,710900,2,995,0.501,0.4732,0.500894,2995,8354,0.661721068,13000,73417.13,11703
704,SUNY College at Plattsburgh,284900,2,1086,0.3716,0.6264,0.496913,5377,7101,0.760065735,18000,61507.99,15334
705,SUNY Maritime College,285300,2,1113,0.2413,0.5131,0.683308,622,7096,0.913385827,21834,80060.6,19050
706,Syracuse University,288200,2,1195,0.2516,0.5351,0.48328,12386,11202,0.911859549,27000,75289.41,30135
707,United States Merchant Marine Academy,289200,0,1220,0.0671,0.0714,0.217208,885,9849,PrivacySuppressed,5500,76831.57,6125
708,Vassar College,289500,2,1405,0.2375,0.3523,0.257301,2400,11395,PrivacySuppressed,15497,80899.18,21858
709,School of Visual Arts,746800,2,1065,0.2493,0.4228,0.753289,4972,4657,0.843042071,24250,78955.6,41443
710,Webb Institute,290000,2,1442,0.0667,0.3222,0.361905,82,9295,PrivacySuppressed,PrivacySuppressed,77290.33,17409
711,Wells College,290100,2,1011,0.4691,0.8436,0.626966,458,7079,0.785714286,20250,61992.22,20259
712,Yeshiva University,290300,2,1229,0.1701,0.2434,0.804878,2744,12158,0.904564315,14000,78671.25,27012
713,Appalachian State University,290600,5,1157,0.2792,0.4748,0.663762,12112,7797,0.867132867,15751,61267.04,14686
714,Barton College,290800,5,959,0.4762,0.7782,0.417808,1202,5891,0.790983607,18875,54814.93,20544
715,Belmont Abbey College,291000,5,1021,0.4186,0.716,0.678699,886,4508,0.602076125,19500,63374.1,22932
716,Cabarrus College of Health Sciences,647700,5,960,0.3676,0.7169,0.9375,259,6211,0.871428571,15000,60990.75,12262
717,Campbell University,291300,5,1007,0.3976,0.7684,0.734983,4594,8248,0.819793205,15250,56906.03,27266
718,Catawba College,291400,5,990,0.4408,0.7316,0.317934,1323,6579,0.758333333,15250,60564.51,20311
719,Chowan University,291600,5,773,0.7287,0.9526,0.617519,739,6517,0.697183099,9500,53634.23,17810
720,Davidson College,291800,5,1355,0.1458,0.2215,0.221293,1679,12080,PrivacySuppressed,15000,76036.21,19981
721,Duke University,292000,5,1450,0.1363,0.4061,0.114222,6325,15140,0.939156035,7500,78468.48,34137
722,East Carolina University,292300,5,1053,0.343,0.5648,0.690356,15018,8008,0.796815507,17901,57608.05,15450
723,Elizabeth City State University,292600,5,844,0.7108,0.7701,0.699543,2022,7548,0.34082397,20421,47337.89,2346
724,Elon University,292700,5,1211,0.0834,0.3127,0.571958,3900,9012,0.941634241,20500,81102.4,35454
725,Fayetteville State University,292800,5,870,0.5973,0.6695,0.603855,3706,8040,0.45018797,16923,49808.38,4927
726,Gardner-Webb University,292900,5,977,0.2347,0.4004,0.526901,2474,6671,0.711956522,17495,54757.84,20268
727,Greensboro College,293000,5,892,0.4312,0.7031,0.752511,973,5914,0.74904943,14375,63893.94,22137
728,High Point University,293300,5,1113,0.1093,0.4432,0.724931,2623,7117,0.730713246,19495,63207.13,37219
729,John Wesley University,293500,5,894,0.651,0.8121,0.769231,154,3993,PrivacySuppressed,16157,56922,14963
730,Johnson C Smith University,293600,5,796,0.7033,0.8313,0.456282,1576,6239,0.350515464,20000,57295.75,19918
731,Lenoir-Rhyne University,294100,5,990,0.4259,0.6699,0.843515,1384,6922,0.886986301,17750,58700.84,20078
732,Livingstone College,294200,5,708,0.8463,0.94,0.712724,917,5392,0.242718447,14250,55022.91,16495
733,Mars Hill University,294400,5,912,0.6079,0.842,0.609635,1219,5163,0.758503401,14250,56558.51,16789
734,Meredith College,294500,5,1036,0.3185,0.6657,0.600232,2432,6838,0.774468085,19000,66301.42,23450
735,Methodist University,294600,5,955,0.4111,0.5929,0.559375,2134,6992,0.758208955,10000,58239.21,23009
736,Montreat College,294800,5,960,0.4286,0.6816,0.543757,1064,4724,0.677740864,18750,61225.9,13704
737,University of Mount Olive,294900,5,909,0.5044,0.7049,0.505305,1713,6322,0.680962343,18216.5,51727.18,12975
738,North Carolina A & T State University,290500,5,910,0.6109,0.8007,0.604825,6850,8808,0.502487562,21500,56398.61,9517
739,University of North Carolina at Asheville,290700,5,1159,0.3446,0.4629,0.785084,3245,7805,0.691927512,13283.5,56376.64,14623
740,University of North Carolina at Chapel Hill,297400,5,1343,0.2186,0.3203,0.305366,15608,11809,0.902667984,15000,66893.88,13744
741,University of North Carolina at Charlotte,297500,5,1093,0.4052,0.5774,0.633095,14388,8771,0.803095975,15999,65762.02,11571
742,University of North Carolina at Greensboro,297600,5,1035,0.4474,0.5823,0.586031,10109,8150,0.745775441,15000,60658.11,11102
743,North Carolina Central University,295000,5,879,0.6569,0.8111,0.658737,4057,7737,0.34945055,24239.5,57501.19,10743
744,University of North Carolina School of the Arts,398100,5,1108,0.3044,0.6019,0.343856,692,7051,0.659793814,20250,68862.71,14454
745,North Carolina State University at Raleigh,297200,5,1264,0.2181,0.4104,0.504306,21990,10241,0.8863831,18167,64180.75,14988
746,North Carolina Wesleyan College,295100,5,878,0.6068,0.7751,0.554481,1996,5849,0.594132029,14076,57249.1,13540
747,University of North Carolina Wilmington,298400,5,1162,0.2899,0.4986,0.609577,9343,8013,0.732459848,16500,62176.12,15909
748,William Peace University,295300,5,868,0.6249,0.8459,0.501914,603,5710,0.768292683,13608,63605.3,29711
749,University of North Carolina at Pembroke,295400,5,926,0.5465,0.6623,0.74369,3076,6746,0.624472574,12000,49520.51,11458
750,Pfeiffer University,295500,5,931,0.4593,0.7265,0.465274,985,6098,0.747404844,15549,62403.22,18366
751,Piedmont International University,295600,5,898,0.5263,0.4632,0.242009,281,3424,PrivacySuppressed,8333,55018.33,14514
752,Queens University of Charlotte,295700,5,1064,0.3195,0.5994,0.671246,1156,8087,0.777573529,18750,69597.25,25288
753,Mid-Atlantic Christian University,2280900,5,947,0.6378,0.7602,0.419643,159,5162,PrivacySuppressed,12538.5,56960.2,15888
754,Saint Augustine's University,296800,5,741,0.8435,0.9183,0.576521,1465,5137,0.451456311,19000,57856.71,26225
755,Salem College,296000,5,1119,0.5761,0.8044,0.62237,898,6137,0.666666667,20000,59058,16350
756,St Andrews University,154001,5,902,0.4122,0.6947,0.55202,644,5154,0.6,10250,64861.88,22416
757,Warren Wilson College,297900,5,1120,0.4005,0.5947,0.838072,728,6178,0.862433862,12669,70885.71,22209
758,Wingate University,298500,5,1040,0.3659,0.7786,0.698054,1179,7389,0.824404762,15500,65044.99,17934
759,Winston-Salem State University,298600,5,870,0.5854,0.7108,0.585306,2844,8052,0.512993263,15750,54716.68,9285
760,Western Carolina University,298100,5,1032,0.385,0.5752,0.402678,5611,7568,0.752982456,15000,56230.92,13516
761,Dickinson State University,298900,4,951,0.2495,0.4136,0.930836,2012,6633,0.919117647,9562,46555.21,11626
762,University of Jamestown,299000,4,1044,0.2545,0.6401,0.649867,1161,6693,0.939698493,15762,51493.83,13298
763,University of Mary,299200,4,1066,0.2161,0.6125,0.956667,2006,6487,0.920415225,16259,50623.12,15770
764,Minot State University,299400,4,999,0.2044,0.3614,0.567857,2907,6739,0.908883827,12000,47057.03,11202
765,University of North Dakota,300500,4,1088,0.201,0.5001,0.818902,9122,6833,0.921704658,17144,56722.24,16400
766,North Dakota State University-Main Campus,299700,4,1091,0.2039,0.5316,0.936359,8973,8872,0.943314582,15000,55831.54,15139
767,Trinity Bible College and Graduate School,1205900,4,926,0.5683,0.8458,0.424051,332,3978,0.714285714,14000,50788.22,20488
768,Valley City State University,300800,4,961,0.2504,0.4595,0.863524,1090,5952,0.914772727,11750,48927.68,11610
769,University of Akron Main Campus,312300,3,1049,0.3735,0.5783,0.965977,17394,8967,0.768365321,15000,58778.75,17350
770,Art Academy of Cincinnati,301100,3,963,0.5243,0.8058,0.229706,238,5038,0.666666667,20000,69050.69,21723
771,Ashland University,301200,3,1045,0.2146,0.5147,0.767412,2819,6899,PrivacySuppressed,19500,64491.65,21778
772,Aultman College of Nursing and Health Sciences,648700,3,1070,0.5223,0.743,0.866667,93,6115,0.813793103,16000,56996.46,21870
773,Bluffton University,301600,3,972,0.3691,0.7563,0.535714,999,5867,0.869415808,21000,59827.57,21160
774,Bowling Green State University-Main Campus,301800,3,1012,0.3236,0.6542,0.726832,15494,8419,0.744779582,17867,63749.73,18437
775,Capital University,302300,3,1133,0.2987,0.698,0.719336,2740,8235,0.838028169,20461,64246.32,22092
776,Case Western Reserve University,302400,3,1398,0.1755,0.4981,0.362652,3434,10734,0.911832947,21500,69873.4,27949
777,Cedarville University,302500,3,1169,0.2065,0.4926,0.742007,2847,7182,0.947289157,18500,67472.37,21270
778,Central State University,302600,3,777,0.7328,0.7946,0.394955,1075,6534,0.373873874,17174.5,48898.06,10802
779,The Christ College of Nursing and Health Sciences,648900,3,970,0.4059,0.7177,0.541667,99,6844,PrivacySuppressed,16750,61986.6,20108
780,Cincinnati Christian University,302900,3,1005,0.4676,0.7168,0.951542,641,5288,0.803680982,19500,61572.26,19545
781,University of Cincinnati-Main Campus,312500,3,1165,0.2499,0.5133,0.85575,20039,9664,0.82169234,14750,64722.83,22180
782,University of Cincinnati-Clermont College,312501,3,1165,0.3959,0.4877,0.85575,2185,7460,0.82169234,14750,64722.83,12094
783,University of Cincinnati-Blue Ash College,312502,3,1165,0.4162,0.5193,0.85575,3668,7258,0.82169234,14750,64722.83,12351
784,Cleveland Institute of Art,398200,3,1083,0.4293,0.7717,0.649051,553,5606,0.837209302,27000,66493.97,32033
785,Cleveland State University,303200,3,1028,0.4253,0.6102,0.640818,10133,8933,0.710387745,14090,57782.89,17136
786,University of Dayton,312700,3,1187,0.1083,0.4719,0.5752,7138,8284,0.93627159,23250,75690.27,27884
787,Defiance College,304100,3,984,0.4223,0.7888,0.652066,868,5731,0.813131313,14250,61079.24,24014
788,The University of Findlay,304500,3,1047,0.1798,0.4894,0.758854,3459,7159,0.83032491,18500,61890.4,22594
789,Good Samaritan College of Nursing and Health S...,649400,3,990,0.4579,0.7725,0.771084,230,4806,0.753731343,19000,64113.85,25611
790,Heidelberg University,304800,3,1033,0.4371,0.9317,0.789015,1257,6406,0.841642229,18750,61648.4,20459
791,Hiram College,304900,3,1071,0.4437,0.7709,0.57618,1199,5487,0.773841962,23000,63946.73,23207
792,John Carroll University,305000,3,1127,0.2271,0.6402,0.820161,3525,8077,0.872654156,21500,68368.11,23702
793,Kent State University at Ashtabula,305105,3,1067,0.538,0.6549,0.847641,1233,6639,0.721351446,16812,59479.84,10424
794,Kent State University at East Liverpool,305106,3,1067,0.5279,0.642,0.847641,573,6471,0.721351446,16812,59479.84,10000
795,Kent State University at Stark,305102,3,1067,0.5104,0.6644,0.847641,2954,6930,0.721351446,16812,59479.84,9493
796,Kent State University at Trumbull,305104,3,1067,0.5781,0.6823,0.847641,2318,7359,0.721351446,16812,59479.84,10629
797,Kent State University at Tuscarawas,305103,3,1067,0.4441,0.5537,0.847641,1693,7012,0.721351446,16812,59479.84,10048
798,Kent State University at Salem,305107,3,1067,0.4858,0.6264,0.847641,954,7112,0.721351446,16812,59479.84,10429
799,Kent State University at Kent,305100,3,1067,0.322,0.6133,0.847641,17580,8465,0.721351446,16812,59479.84,18978
800,Kent State University at Geauga,305101,3,1067,0.3936,0.5569,0.847641,617,6365,0.721351446,16812,59479.84,9781
801,Kenyon College,306500,3,1335,0.0956,0.2839,0.256321,1599,8573,PrivacySuppressed,16500,77995.25,29516
802,Lake Erie College,306600,3,989,0.3369,0.6354,0.563084,560,6576,0.76,18750,63624.4,20479
803,Lourdes University,306900,3,983,0.4973,0.7105,0.692197,1312,6142,0.666666667,22769.5,59351.8,18809
804,Malone University,307200,3,1029,0.3815,0.7105,0.688356,1945,6281,0.842560554,18914.5,58701.03,19773
805,Marietta College,307300,3,1100,0.2881,0.6565,0.720224,1187,6709,0.84496124,19500,58715.65,19611
806,Miami University-Hamilton,307702,3,1259,0.4294,0.554,0.654914,2181,6928,0.839406208,16630,72182.76,11061
807,Miami University-Middletown,307701,3,1259,0.4098,0.5165,0.654914,1988,6991,0.839406208,16630,72182.76,11661
808,Miami University-Oxford,307700,3,1259,0.1227,0.3799,0.654914,14957,8861,0.839406208,16630,72182.76,22011
809,Mount Carmel College of Nursing,3071900,3,990,0.2665,0.5901,0.817143,295,7674,0.92,19500,68565.22,15019
810,University of Mount Union,308300,3,1078,0.3224,0.7493,0.750109,2334,7626,0.870175439,23705,61044.98,23286
811,Mount Vernon Nazarene University,708500,3,1047,0.4152,0.7308,0.776204,1889,6110,0.817901235,19500,60597.42,18205
812,Muskingum University,308400,3,984,0.391,0.6531,0.738998,1614,7763,0.889261745,16976,57566.05,18443
813,Notre Dame College,308500,3,899,0.3018,0.6022,0.912677,215,5373,0.746376812,14668,60228.48,19684
814,Oberlin College,308600,3,1357,0.0956,0.3465,0.28778,2905,10558,0.903114187,24000,76190.1,32061
815,Ohio Dominican University,303500,3,1009,0.3357,0.5689,0.808511,2085,7091,0.714285714,21500,65362.52,21910
816,Ohio Northern University,308900,3,1158,0.2113,0.6868,0.690476,2308,8235,0.928331467,26000,63536.16,23164
817,Ohio State University-Lima Campus,309001,3,1295,0.3814,0.5879,0.493837,1120,8847,0.796381544,16000,65208.79,12096
818,Ohio State University-Mansfield Campus,309002,3,1295,0.4494,0.5913,0.493837,1445,8125,0.796381544,16000,65208.79,15329
819,Ohio State University-Marion Campus,309003,3,1295,0.4279,0.5227,0.493837,1159,8153,0.796381544,16000,65208.79,10902
820,Ohio State University-Newark Campus,309004,3,1295,0.3817,0.5629,0.493837,1872,8817,0.796381544,16000,65208.79,15418
821,Ohio State University-Main Campus,309000,3,1295,0.2141,0.428,0.493837,35749,11739,0.796381544,16000,65208.79,18099
822,Ohio University-Eastern Campus,310006,3,1108,0.2904,0.3525,0.74419,931,7955,0.760608487,13292,59563.35,8431
823,Ohio University-Chillicothe Campus,310005,3,1108,0.6075,0.6781,0.74419,1638,7077,0.760608487,13292,59563.35,9972
824,Ohio University-Southern Campus,310004,3,1108,0.5302,0.5798,0.74419,1933,7033,0.760608487,13292,59563.35,9583
825,Ohio University-Lancaster Campus,310003,3,1108,0.483,0.5714,0.74419,1409,7699,0.760608487,13292,59563.35,9273
826,Ohio University-Main Campus,310000,3,1108,0.2637,0.5729,0.74419,16712,8790,0.760608487,13292,59563.35,20826
827,Ohio University-Zanesville Campus,310002,3,1108,0.4253,0.4693,0.74419,1347,7660,0.760608487,13292,59563.35,8674
828,Otterbein University,311000,3,1120,0.1964,0.6947,0.753171,2511,7406,0.853314528,23000,67882,24123
829,Franciscan University of Steubenville,303600,3,1165,0.2262,0.7269,0.788838,1701,7553,0.896988907,19500,66586.04,24882
830,University of Toledo,313100,3,1069,0.3356,0.5316,0.93201,15950,8541,0.756574511,13707,60626.38,14839
831,Urbana University,313300,3,965,0.2061,0.3113,0.912854,1310,5221,0.725868726,18979,58418.76,17859
832,Ursuline College,313400,3,1007,0.432,0.8499,0.879668,1016,5844,0.697674419,24371,60856.87,15298
833,Wilberforce University,314100,3,762,0.6703,0.7912,0.551378,925,4636,0.508982036,11625.5,51716.09,18787
834,Wilmington College,314200,3,966,0.4342,0.8217,0.929464,1930,5859,0.828633406,18000,60793.02,22118
835,The College of Wooster,303700,3,1237,0.1922,0.5068,0.552888,1837,8310,0.88372093,22250,69911.54,24131
836,Wright State University-Main Campus,307800,3,1028,0.3756,0.5616,0.961648,10618,8766,0.801787165,13643,61970.64,14101
837,Wright State University-Lake Campus,307801,3,1028,0.3489,0.4305,0.961648,639,9291,0.801787165,13643,61970.64,8425
838,Xavier University,314400,3,1111,0.1739,0.5596,0.715787,4019,8430,0.907103825,20500,68472.8,27418
839,Youngstown State University,314500,3,981,0.4765,0.6339,0.711022,10619,7998,0.723458038,17500,51307.51,11691
840,Bacone College,314700,6,856,0.9463,0.8946,0.420455,830,4085,0.619354839,9500,44521.89,22732
841,Oklahoma Wesleyan University,315100,6,962,0.2905,0.5535,0.947419,828,5633,0.777777778,16666,51169.37,21444
842,University of Central Oklahoma,315200,6,1010,0.3369,0.4031,0.699141,11790,6742,0.794041451,12000,54764.86,12141
843,East Central University,315400,6,970,0.4472,0.4033,0.459967,3260,5476,0.709774436,10254,40365.08,6783
844,Randall University,1026600,6,925,0.4912,0.6018,0.51004,262,2633,PrivacySuppressed,6625,51563.32,14827
845,Northeastern State University,316100,6,988,0.4963,0.5059,0.927518,7186,6420,0.73099851,11873,45641.51,8604
846,Northwestern Oklahoma State University,316300,6,950,0.3391,0.3704,0.481439,1722,4722,0.770547945,7500,45171.33,7784
847,Oklahoma Christian University,316500,6,1118,0.2835,0.531,0.591067,1752,6079,0.901265823,15740,63431.55,18190
848,Oklahoma Panhandle State University,317400,6,890,0.2188,0.2473,0.682965,1183,3648,0.757894737,9448,48652.56,11316
849,Oklahoma State University-Main Campus,317000,6,1118,0.2829,0.4243,0.7513,16574,8788,0.817677756,15000,55237.91,13894
850,Oklahoma Baptist University,316400,6,1042,0.379,0.5632,0.610257,1993,6881,0.913385827,12500,59289.35,16703
851,Oklahoma City University,316600,6,1126,0.2004,0.4629,0.701665,1949,7187,0.820093458,18750,59190.63,27849
852,University of Oklahoma-Norman Campus,318400,6,1204,0.2302,0.3452,0.776371,17771,9558,0.858777261,15000,59522.71,16418
853,Oral Roberts University,398500,6,1009,0.4381,0.5935,0.640445,3132,7241,0.786355476,22902,63453.08,22026
854,Rogers State University,316800,6,830,0.4575,0.453,0.818354,2640,5707,0.708333333,7500,50487.79,13346
